id,group,aritfact
34841,org.owasp.encoder,encoder-jsp
34842,org.opennms,opennms-taglib
34843,org.lucee,jzlib
34844,org.lucee,tika-core
34845,org.lucee,commons-email
34846,org.lucee,commons-logging-adapters
34847,org.lucee,commons-logging-api
34848,org.lucee,commons-logging
34849,org.apache,oro
34850,org.lucee,log4j-core
34851,org.lucee,log4j-api
34852,org.lucee,portlet
34853,org.lucee,xml-apis
34854,org.lucee,jta
34855,fusiondebug.api,server
34856,org.lucee,httpcomponents-httpclient
34857,org.lucee,httpcomponents-httpcore
34858,org.lucee,httpcomponents-httpmime
34859,org.lucee,hsqldb
34860,javasysmon,javasysmon
34861,org.samba,jcifs
34862,jencrypt,jencrypt
34863,org.lucee,xml-resolver
34864,javax.mail,activation
34865,w3c,dom
34866,org.lucee,argon2
34867,org.lucee,txtmark
34868,org.lucee,janino
34869,org.lucee,janino-commons-compiler
34870,io.github.maliangnansheng,nansheng-common
34871,com.liang,bbs-common
34872,com.liang,bbs-article-facade
34873,com.liang,bbs-article-persistence
34874,com.liang,bbs-user-facade
34875,com.liang,bbs-user-persistence
34876,com.chinamobile.cmos,wbxml-stream
34877,com.chinamobile.cmos,smsj
34878,${project.groupId},athenz-server-common
34879,${project.groupId},athenz-auth-core
34880,${project.groupId},athenz-instance-provider
34881,com.gu,kinesis-logback-appender
34882,software.amazon.awssdk,core
34883,${project.groupId},athenz-zts-core
34884,${project.groupId},athenz-zts-java-client
34885,${project.groupId},athenz-client-common
34886,com.yahoo.rdl,rdl-java
34887,${project.groupId},athenz-zts-java-client-core
34888,${project.groupId},athenz-cert-refresher
34889,${project.groupId},athenz-zms-core
34890,io.swagger.core.v3,swagger-jaxrs2-servlet-initializer-jakarta
34891,${project.groupId},athenz-zms-java-client
34892,${project.groupId},athenz-dynamodb-client-factory
34893,${project.groupId},athenz-jetty-container
34894,com.yahoo.athenz,athenz-gcp-zts-creds
34895,${project.groupId},athenz-msd-core
34896,com.yahoo.athenz,athenz-zms-core
34897,uk.co.datumedge,hamcrest-json
34898,com.yahoo.athenz,athenz-server-common
34899,com.yahoo.athenz,athenz-syncer-common
34900,com.yahoo.athenz,athenz-dynamodb-client-factory
