user,repo,simTL,maxSC
ZA-Ghost,Truck-Manangement-Information-System.git,[],0.23605497
lukemullins02,Generic-Linked-List.git,[],0.0
DiegoTorresMijarra,SnakeGame.git,[],0.0
aws-cloudformation,aws-cloudformation-resource-providers-rds-proxy.git,[],0.0
gunawanjess,RandomNumberGuess.git,[],0.5954137
Myrs-19,recruitmentSystem.git,[],0.40049678
IoT-Technology,IoT-Toolkit.git,[],0.28201732
wandersonxc,diagrama-uml-iphone2007.git,[],0.6000213
dsalazse,inventario.git,[],0.0
FlorianPoessl,sepaxml.git,[],0.4339052
thisasta,OOP.git,[],0.0
tdep,advent-of-code.git,[],0.36732888
GabYrrog,Projects.git,[],0.38759142
leaderos-net,leaderos-plugin.git,[],0.6120874
rohitkumar502,springorm.git,[],0.35322428
SergeyPrisyazhnyuk,java-shareit.git,[],0.41899794
EvaristeGalois11,fabrickapitest.git,[],0.41914302
VictorKarma,MicroServicioReset.git,[],0.0
rizkimauln,Rizki-Maulana-IF-C.git,[],0.0
aerospike-examples,simple-springboot-aerospike-demo.git,[],0.46189642
piomin,sample-spring-cloud-testing.git,[],0.6339539
yizzuide,Milkomeda.git,[],0.25847518
Luke-Henry-5,Bed_Shaker_Capstone.git,[],0.3244543
kiran-chitivolu,sonar-metrics-comparision-report.git,[],0.4605921
Rabins123,Leetcode.git,[],0.0
usdot-fhwa-stol,cdasim.git,[],0.37835258
leforero4-ui,widget-daily_scrum.git,[],0.56373787
therealrahulsahu,Internship-Project-BE.git,[],0.0
cs-intro-reichman,hw01-ItayHaramati.git,[],0.4051617
cs-intro-reichman,hw01-Yossi4.git,[],0.4051617
allure-examples,junit5-java-maven.git,[],0.41587248
GouthamGuna,ticket-booking-API.git,[1311],1.0
augustin-pasq,Test-Technique-Alternance.git,[],0.0
CoolPeace-yanolza,backend.git,[],0.0
hiago-balbino,bopereg.git,[2229],0.84212637
GyuminGomin,HealthKiosk.git,[93],0.82434505
SensorsINI,jaer.git,[],0.5196598
HardyDLBC,JAVAnote.git,[],0.0
gbif,pipelines.git,[],0.51203674
HoChangSUNG,leetcode.git,[],0.0
skippy-io,skippy-functional-tests.git,[],0.4433009
Hkaua,Codigos-Em-Java.git,[],0.37066045
big-frontend,vi.git,[],0.0
KouShenhai,KCloud-Platform-Alibaba.git,[],0.0
SellRiTo,txr-mq-kafka.git,[1432],1.0
eclelucien,Trabalho_de_conclusao_de_curso.git,[],0.37066045
Sami116,beanapi.git,[],0.7958413
BenHall28,MIT-Maker-Portfolio.git,[],0.30238637
viktorsht,BarberShopAPI.git,[],0.0
antoniosalinas2000,backend-2-prueba-grupo-salinas.git,[],0.58556527
QuiltMC,enigma.git,[],0.42637452
lkt9899,PS.git,[],0.56104326
fredyefra,api-bb-developers-miscellaneous.git,[],0.38577932
tdronnie,Algorithm.git,[],0.0
ardbek,algorithm.git,[],0.46677393
wonyongg,studyCode.git,[],0.38289076
winmoh,springboot-with-asam.git,[],0.54664636
chaeeeeee,Programmers.git,[],0.0
runelite,runelite.git,[1823],0.8033248
ohmyoungjin,spring-proxy.git,[],0.0
cloudfoundry,credhub.git,[],0.34990436
hrszk,item-data-management.git,[],0.0
myoungsuk,DadokDadok.git,[],0.5932135
Ajit77670,Java_Daily_Practise.git,[],0.0
kariemdev,Chess.git,"[482, 745, 1924, 2184, 2285]",1.0
yangshoulai,octopus.git,[],0.45407367
jbossws,jbossws-cxf.git,[],0.48256752
LeonKuhne,BoatHop.git,[],0.57822573
vanshpathak938,stringSearch.git,[],0.31822056
bbcgamlng,AP-CS-A-review-project.git,[],0.7278302
mikuiki,javaChapter12.git,[],0.0
Gordonjohnao,floatover-cordova-plugin.git,[],0.54489386
JoaoSantos6,DSList-SpringBoot-Project.git,[],0.0
Hiron-Musk,Java.git,[],0.0
raindazo,VRC-photos-by-date.git,[],0.0
cs-intro-reichman,hw03-Yoav-cohen08.git,[],0.4051617
aangupta,LeetCode.git,[],0.4473109
RiverYoung,Core-Java.git,[],0.734805
hann2607,library.git,[],0.6185045
GuoliangLi-HZAU,ChIA-PET_Tool_V3.git,[],0.3246065
KabourWu,security-jwt-spring-boot-starter.git,[],0.0
aliyun,aliyun-openapi-java-sdk.git,[],0.0
2dgirlismywaifu,NewsAPP-RSS-NewsAPI.git,[],0.0
gocd,gocd-filebased-authentication-plugin.git,[],0.38199514
Fer-oso,pos-with-mysqlc.git,[],0.36757073
Dica-Developer,weplantaforest.git,[],0.0
