user,repo,simTL,maxSC
OxalisCommunity,oxalis.git,[],0.6322499
jonathan0620,codetree-TILs.git,[],0.0
satsukisato,spring_project.git,[],0.53088313
v-rathour,leetcode_by_vikash_rathour.git,[],0.50450236
GregTech-Intergalactical,AntimatterAPI.git,[],0.0
shi00,foundation.git,[],0.0
hantsy,jakartaee10-starter-boilerplate.git,[],0.7354677
Cuiyq110,mhl.git,[],0.0
ahalamgir16,hisab_Nikash.git,[],0.4693932
seungheon123,101.git,[],0.0
rafacandev,aprenda-jpa.git,[],0.0
kodoyoon,CodingTest_JAVA.git,[],0.51763797
cartercsm9,Shoo.git,[],0.0
elitadanilyuk,cs161.git,[],0.0
pushpakjain628,backend.git,[],0.3947144
mayurpatil96k,cdac_assignment.git,[],0.0
prashantika,MapUp-Assignment-Id2.git,[],0.24874756
SHARAN1209,leetcode.git,[],0.6230524
umairsd,advent-of-code.git,[],0.0
jisoo0609,Algorithm.git,[],0.0
Vertigo18523,SirJohn.git,[],0.0
apache,hudi.git,[],0.5063759
erasels,PackmasterCharacter.git,[],0.51959527
DeveloperIQ-CC-Assignment,issue-management.git,[626],1.0
kanugurajesh,DSA-Solutions-Notes.git,[],0.31797418
ednaleiden,JunitSpringJpa.git,[876],0.8707178
jainen1,Trevors-Sentinels.git,[],0.33676657
Vica137,IntroduccionProgramacion.git,[],0.0
SquirrelJME,SquirrelJME.git,[],0.2783397
spkhushal07,UserProductManagement.git,[],0.42142934
CsarNarciso,Grafana-Prometheus-with-ZipKin-Spring-Boot.git,[],0.31558475
dabidgmz,App_integradora.git,[],0.0
zenggfhcs,manage.git,[],0.0
tuf11244,Project.git,[],0.0
central-x,central-studio.git,[],0.0
MemoryLeakDeath,greenmail-gui.git,[],0.5854262
h2database,h2database.git,[1420],0.89692247
aishwarya-utale,employeedetails.git,[],0.5314989
acalmcat,RockPaperScissors2.git,[],0.0
FreePoet63,Obitel.git,"[473, 1297, 1498, 236, 788, 2173, 2141, 2445, 909, 740, 1731]",1.0
William-67,Android-Byblos-application.git,[],0.3935245
AleksandrButakov,pinout.git,[],0.5190454
kevinscix,Shortest-path-finder.git,[],0.0
parseyong,FoodKing.git,[2420],1.0
founchoo,car-rental-platform.git,[],0.0
hantsy,cargotracker-regapp.git,[],0.46192908
mohammedisaq,samplegithub.git,[],0.7436005
Tayeu9,ReadJson.git,[],0.0
ulrra2023,Clase4.git,[],0.4676084
jpenilla,mods-command.git,[],0.45742792
jpenilla,better-fabric-console.git,[],0.32070285
harishan-a,Java-E-Commerce-Application.git,[],0.37447047
elisamark,512.git,[],0.63894343
digitalbastian,panaderia.git,[],0.0
UchhasDewan1847,Library-Book-Application.git,[],0.43378907
Parz1val02,FirebaseAndroid.git,[],0.48835218
BlueGoggles,FtcRobotController_2023_v1.0.git,[],0.3210479
Vajra456,cdc-demo-stage.git,[],0.0
vinayaknikam2001,Laptop-Seller.git,[],0.3536728
richelybranch,HolaMundo.git,[],0.0
Namitha-Shree,INFO5100-LAB5.git,[],0.0
CrWillson,Algorithms-Projects.git,[],0.0
SimpleGraduationProjects,EmergencyMutualAidInformationManagementSystem.git,[],0.0
gdrusetich,argenProgramaPatrones.git,[],0.0
selab-hs,selab-baseball-game.git,[],0.0
ganeshspatil77,Mobile-Apis.git,[],0.40126425
Hector123xd,proyectolimpieza.git,[],0.6065022
vkavinmech,mavendemo.git,[],0.7193526
Un-chien,express.git,[],0.0
Avers66,Social-network.git,[],0.42424038
jinsoo335,trip.git,[],0.0
Koshak1432,nsu-stuff.git,[],0.0
jenkinsci,credentials-plugin.git,[],0.37096664
googleads,googleads-mobile-android-mediation.git,[],0.4892278
gerritbehrens,skat_model.git,[],0.0
DallinatorX,The_Wall.git,[],0.35066354
AirstaNs,java-course-2023.git,[],0.61286134
oneBit-pixel,PixelBitToolKit.git,[],0.0
deB4SH,YART.git,[],0.0
akabe1,OAUTHScan.git,[],0.6960894
henkelmax,trade-cycling.git,[163],0.9293357
centic9,poi-on-android.git,[],0.49488783
theperu,Wordle-CLI-clone.git,[],0.44485348
lutece-platform,lutece-core.git,[],0.0
mP1,walkingkooka-text-cursor-parser.git,[],0.4202577
OrcunColak,sprint-apikey-tutorial.git,[],0.41917896
Diorrr,leetcode.git,[],0.54867923
anawas,HipparchusDemo.git,[],0.29773346
ystone17,algorithm_study.git,[],0.0
anhtester,Viettel_SeleniumTestNG_Parallel.git,[],0.45281813
swapnilbamble1438,ExamPortal.git,[],0.38083193
FirokOtaku,Topaz.git,[],0.50015205
happyherp,littlethings.git,[],0.47271118
isnirp,play-stream.git,"[716, 209, 958, 1536, 1845, 2303]",1.0
LRaffaele,Esame-finale-CGM-Consulting.git,"[482, 745, 1924, 2184, 2285]",1.0
GirlInPurple,minecart-fix.git,[],0.6619094
intranda,goobi-plugin-export-newspaper.git,[],0.35938326
PARK-ByeongHak,Baekjoon_coding_training.git,[],0.51763797
hsicen,LeetCode.git,[],0.0
ly-chn,spel-demo.git,[],0.0
sseokpyo,Programmers-Algorithm.git,[],0.0
Aizhanaaah,-31GitHub.git,[],0.50936407
intranda,goobi-plugin-step-batch-progress.git,[],0.35168722
VemAiensi,SoftEng1.git,[],0.23606504
ShmyhelskyiAndriy,TEST.git,[],0.6660178
NomakhosiM,TigerSafety.git,[],0.0
Isaachbt,security_5_spring.git,"[2234, 1003]",1.0
morningB,baekjoon.git,[],0.51763797
v0ncent,ThreeStrings.git,[],0.26559067
chilicizz,vanguard.git,[],0.41270003
alexnascimento75,teste-eveclass-login.git,[],0.0
nitingakhar24,springannotations.git,[],0.7472063
alexnascimento75,teste-unidade.git,[],0.0
HyBlockMC-Team,HyBlockMC.git,[],0.51171076
Diegodelias,TpintegradorArgentinaPrograma4.0Java.git,[],0.0
SpilledMilkCOM,JavaIoC.git,[],0.0
wivsonmachado,testeX.git,[],0.0
HarbyT,AndroidStudioExampleRegistrorProductos.git,[],0.35941145
MaarcooSDL,Programas-Escuela-TESCI.git,[],0.0
guzgonav,CalculadoraAndroid.git,[],0.42364234
S-Cool,LeetCode.git,[],0.5130603
IanEmmons,ScoreScopeExport.git,[],0.5454172
QuantumZizo,Monocle.git,[],0.28728586
ChristoferJosue,Radio-Button-y-Checkbox.git,[],0.0
melus7n7,JavaFXSGACP.git,[],0.0
danieltoste,PT-W1.git,[],0.0
Sergera60,PrositJava.git,[],0.0
chon-group,chonIDE.git,[],0.0
JemsWaner,Proyecto-Final.git,[],0.0
AndreiRech,ImpBinaryTree.git,[],0.0
lowcoder-org,lowcoder-plugin-api.git,[],0.70800495
Am4deuss,swing-test.git,[],0.4675714
Aussul,Aussul_Average.git,[],0.57714367
dianamiroshnyk,OpenGL_project2.git,[],0.66959506
nebo57,QA-Automation.git,[],0.57828236
Java-GAD,java-gad-november-203-workshops-chirilusa.git,[],0.4051617
zmgmarina,desktop-tutorial.git,[],0.55210465
allure-framework,allure-java.git,[],0.44082832
Hrushi2602,JavaPrograms.git,[],0.4302112
salesforce,cantor.git,[],0.5589653
Yoyolick,college.git,[],0.5114279
LR-Vharun,typetest.git,[],0.31581992
danimtnzz,Barbero-Dormilon.git,[],0.0
Axshxlx,Inheritance-Polymorphism-Project.git,[],0.2769399
riteshkhatri08,ws_leetcode.git,[],0.54867923
cheez0909,Spring-exercise.git,[],0.0
aniketh98,DStudy_backend.git,[],0.7436005
adobre01,laborator5-tema.git,[],0.0
SoftMoore,CPRL-Java-3rd.git,[],0.58966666
Laur4Murphy,TowerDefense.git,[],0.7278302
CCA-APCS-A-Remington-F23-P1,final-project-apcsa-team-4.git,[],0.4051617
Eoere,opusdei.git,[],0.56438076
somixyz,jaxrs-jersey-exercising-examples.git,[],0.5840477
camilaPalacios2054,Rubber.git,[],0.0
blackcub3s,programesJava.git,[],0.0
ItsRezaOk,COMS228_hw1_Fall2023.git,[],0.33140263
Amlandeep001,spring-boot-eureka-service.git,[],0.5316828
StarTux,Warp.git,[],0.0
microsoft,appcenter-sdk-android.git,[],0.68179065
yrdsb-peths,hungry-animal-AAAAAndyli.git,[],0.4051617
tfnix,javaio.git,"[482, 745, 1924, 2184, 2285]",1.0
Shri103,CmdLines-Quiz.git,[],0.37992364
POO-MDW22,tp2-jamilaboumnijel.git,[],0.4051617
IL0VERAT,DSJava.git,[],0.0
luigiisp,MediaPlayerProject.git,"[196, 291]",0.92040247
TahaBarzanji,Team-7.git,[],0.0
fbhs-cs3,2023-advent-of-code-chpurdy.git,[],0.4051617
Environment-Studios-Official,Forest-X-Reborn.git,[],0.6940273
matias79,MicroserviceSpringBoot.git,[],0.3826165
aak204,FileConverter.git,[],0.0
sergeysereko,JavaClasses.git,[],0.0
Anicodeth,H-bib.git,[],0.6474704
Kegantu,Kegantus-Armory-fabric.git,[],0.472939
morgan1175,GestionProjetsEmployes.git,[],0.0
limpay-com,BackEnd-LimPay.git,[],0.0
Albert-MoDz,Operaciones_basicas_java.git,"[482, 745, 1924, 2184, 2285]",1.0
viguer,MicroAuthenticator.git,[],0.0
JPOverclock,advent-of-code-2023.git,[],0.61286134
KirShelt,Algorithms.git,[],0.46135452
ao-apps,aoweb-struts.git,[],0.40386495
DataBiosphere,consent-ontology.git,[],0.0
KPMP,pegasus-data.git,[],0.419458
aaranayaadi,Animals_App.git,[],0.46789694
Ruwais-zaid,DSA.git,[],0.4473109
AlexAkama,advent_of_code.git,[],0.0
all-things-dev,web-application-reference.git,[],0.5533855
xujessica,Closet-Calendar.git,[],0.0
bloomberg,blazingmq-sdk-java.git,[],0.36476138
RGBHamSandwich,COSC112FinalProject.git,[],0.0
Chelik-404,basics-of-programming.git,[],0.61286134
GoogleCloudPlatform,spring-cloud-gcp.git,[],0.50728476
opendaylight,yangtools.git,[],0.7278302
jvianad,microservices.git,[1432],0.82497627
convertigo,convertigo.git,[],0.49205378
ao-apps,aorepo.git,[],0.36249495
Shubham-Negi01,Coding-DSA.git,[],0.55727214
CDAGaming,CraftPresence-Mirror.git,[],0.0
CDCgov,SeqRuler.git,[],0.40483165
ls1intum,Artemis.git,[626],0.8208753
SACHSTech,processing-task-8-user-input-RyanChan25.git,[],0.4051617
AlxV05,ActionAutomator.git,[],0.48937216
Narotam-Mishra,problem_solving.git,[],0.53088313
davidval2022,MovilHREntrada.git,"[62, 95, 142, 159, 169, 200, 272, 339, 342, 436, 437, 930, 941, 1108, 1225, 1486, 1545, 1569, 1650, 1724, 1767, 1970, 2018, 2056, 2098, 2103, 2128, 2263, 2429, 2456, 2643]",1.0
12jihan,SVNDB0X-NG1N.git,[],0.4760082
joffejs,2048_game.git,[],0.5163309
fireduck64,adventofcode.git,[],0.6524315
Somit-Jaiswal,Leetcode.git,[],0.0
victorbasilva,EirVid.git,[],0.0
ibi-group,otp-middleware.git,[],0.32336634
HenryGabriel-2407,Jogo-da-Velha.git,[],0.0
Tomciii,ds-finance-bank_csdc24bb_03.git,[],0.3717642
lazygyu97,PLUG_Refactoring.git,[],0.59254664
Michal1994-GDY05,Algorytmy_I_Struktury_Danych_SORTOWANIE.git,[],0.59023935
Daniel-Penelva,springboot-exception-handling.git,[],0.41513583
balamoravineni,LeetcodeAndGFGPractice.git,[],0.4473109
appmetrica,appmetrica-sdk-android.git,[],0.0
opensearch-project,sql.git,[],0.38447207
cojuny,apt-pdf.git,[],0.7278302
JafetMorales-438,PuntoDeVenta_GBC.git,[],0.0
SaulHdzA17,Proyecto_Compiladores_5CM4_CHR.git,[],0.0
jkmcl,downloader.git,[],0.35890204
SM581,String-Cadenas.git,[827],1.0
DakshiArora11,PhoneBook-.git,[],0.0
Fradantim,spring-core-performance.git,[],0.46359798
tuc56,cursedJavaThing.git,[],0.3206793
apache,shiro.git,[],0.0
AndreyMendonca,SistemaDeVenda.git,[626],1.0
parthk02,chunky.git,[],0.6218411
caiohenrique-3,todo-list-manager.git,[],0.40609783
eduardo-reyes,connected_components.git,[],0.48564053
GeekNinja24,LeetCode-Solution.git,[],0.5135827
VoidemLIVE,Help-Command-Plugin.git,[],0.27746102
tr3s1n,handmadeshop.git,[],0.0
Yashwanth-PS,Tic_Tac_Toe.git,[],0.0
Arisamiga,Advent-Of-Code-2023.git,[],0.57471573
Nikhil-Singh-2503,ManageZilla.git,[],0.5504922
supriyaphalle,Electronics_Store.git,[2229],0.84212637
fransoufil,java-interpolation-search.git,[1322],0.82278734
nsu12,java-explore-with-me.git,[],0.41899794
BaluconisTima,ShrubyWay.git,[],0.40250286
Gecolay,GSit.git,[],0.6299423
devyaanshdwivedi,100DaysOfCoding.git,[],0.45393857
Hemkesh10,HuffmanAssignment.git,[],0.0
Luncaaa,AdvancedDisplays.git,[],0.40859103
enofex,naikan-model.git,[],0.37161964
khurozov,adventofcode.git,[],0.6524315
LauraPigosso,Exercicios_java_Leo.git,[],0.43768078
izay88,automotive-portal.git,[],0.48896497
hmcts,ia-hearings-api.git,[308],1.0
brunodms,TrabalhoFinal.git,[],0.695953
highsource,jaxb-tools.git,[],0.5292309
y00njinuk,my-books-list.git,[],0.0
BrunoJun,chatgpt-spring-boot.git,[],0.37066045
