user,repo,simTL,maxSC
brenoyure,Agenda-de-Contatos.git,[],0.0
joedayz,SpringBoot3AndSpringCloudAndKubernetes.git,"[473, 1297, 1498]",0.8399751
stephenc,2021-ireland-stats.git,[],0.38893282
League-level5-Student,level5-03-sockets-WallyWest74422.git,[],0.4051617
hemrajpant69,Java.git,[],0.0
lulunac27a,java-datetime.git,[],0.5447178
je-s0n,redis-cli-lettuce.git,[],0.0
OM14008,HRMSB16.git,[],0.0
aramisHernandez1,Freshmen-Year-Winter-Break-Project.git,[],0.39545685
giovaniflp,SpringBoot_HelloWorld.git,[],0.46274665
ShambaC,CU-MSC-OOAD-SEM1.git,[],0.23606504
Abelitro47,Andriod-RAT.git,[],0.40509087
maxling92,Tugas-PPB-2023.git,[],0.61286134
tanghme0w,boardgame-project.git,[],0.4315534
kiwiproject,consul-client.git,[],0.0
GeumZzoks,universeStay.git,[],0.0
KyleQiao1992,macDrive.git,[],0.44121963
MinecraftForge,EventBus.git,[],0.0
123paola,CursoJava2024.git,[],0.0
706com,Algorithm_Study.git,"[2524, 2386, 2344]",0.8631563
subhasmita11,car-rental-system.git,[],0.37310988
opensearch-project,geospatial.git,[],0.5727517
vishrutss,Platformer_Game_Java.git,[],0.521601
sathishjayapal,banking-app.git,[626],1.0
myeonju,CodingTest_Java.git,[],0.51763797
misicode,BC-EggNews.git,[],0.38686284
chywx,spring-boot-chy.git,"[611, 748, 798, 943, 2029, 2081, 920]",1.0
Lweiis,java-test.git,[],0.40416774
romasky,helloCucumber.git,[1931],0.85805583
WenDEVLIFE,JavaFX_CSS_BUTTONS.git,[],0.6800881
hernanudea,spring-boot-webflux-apirest.git,[],0.0
arjun82180,number-guessing-game.git,[],0.3259913
deltawing71911,YoungHanKim_java-start.git,[],0.0
Egerwe,gulimall.git,[],0.0
Vinncz,notify-you.git,[],0.35346985
not-celeska,ICS3U_FurnishSim.git,[],0.7278302
hlysine,create_connected.git,[],0.36634845
ALJosefino,w3schools_java.git,[],0.48297724
kimgayeons,inflearn_spring01_boot_mvc_db.git,[626],1.0
BeansGalaxy,Beans-Backpacks-2.git,[],0.3497835
zph95,leetcode.git,[],0.6507998
ME1312,Bridge.git,[],0.41587386
killman122,sky-take-out.git,[],0.0
FTBoojux,ftchat-channel.git,[],0.0
NeroAhn,Redis-Case-Study.git,[],0.0
sangkyu-bae,Algorithm.git,[],0.51763797
antonioparra7,aprende-arabe-backend.git,[],0.0
stateIs0,ems.git,[],0.5196423
spdqbr,AoC.git,[],0.0
debapriyo007,OOps.git,[],0.42441154
Monali-Sutar,SampleTest.git,[],0.0
LebGes-classes,second-project-adeluaa-a.git,[],0.4051617
narasimhareddyprostack,Java-Nov-9AM.git,[],0.35308605
heruiyuan27,template.git,[],0.55933285
thegatesdev,maple.git,[],0.27741528
Durgadevi-2003,Springbootprojects.git,[],0.5773183
shoaibsaikat,Android-Room-Database-with-Handler.git,[],0.41804177
metio,javapoet-type-guesser.git,[],0.0
2003Aventador,ATMClient-CUMT.git,[],0.0
FranciscoMendxza,Proyecto.git,[],0.0
minwoo1999,Career.git,[626],1.0
telusko-projects,Job-Portal.git,[],0.31786144
cmperrazo,cmperrazo.git,[],0.0
ChetanGhodekar98,HIbernateAnnotationDemo1.git,[],0.0
Ji-InPark,LeetCodeSolution.git,[],0.0
w3stling,tickersymbol.git,[],0.66379184
VaibhavKukade,matrimonial.git,[],0.50477624
bruhetan,crit-fix.git,[],0.0
saichetanveeragandham,LocationTracker.git,[],0.0
Zqxg,shopping.git,[],0.0
rohitdev,spring-config-embed-jdbc-tmpl-project.git,[],0.0
warting,SingleDateAndTimePicker.git,[],0.3653093
Charmboy7,JSP.git,"[482, 745, 1924, 2184, 2285]",1.0
lonecloud,pika-txt.git,[],0.0
Nurulaffifah11,NurulA_TugasDS.git,[],0.46308187
Simplexity-Development,StreamChatRelay.git,[],0.34901437
lucarauj,Solucao-com-Spring-Batch.git,[],0.0
mobappdeveloper,reverse.git,[],0.51099837
inna1301,arhive_module.git,[],0.0
Faisal-BD,REVOLUTION.git,[],0.0
DevOpsPlus-SAF,retail-seller-microservice.git,[],0.0
Cri5tiann,Rotar_Cristian.git,[],0.39174384
AgengListiyatYono,Tugaspertemuan10.git,[],0.7769083
israelww,israelww.git,[],0.5017061
BYCKILIE,SecurityCameraSystem.git,[],0.3102488
dinhtoan9,SeleniumMaven092022.git,[],0.46709782
andrus,task-extractor.git,[],0.340689
shlomi10,Au10tix.git,[876],0.8707178
kamleshp97,RabbitMQ-with-springBoot.git,[],0.6704831
TomChantegros,Bibliotheque.git,[],0.23606504
amanfredi13,gruppo_prova_git.git,[],0.4613381
DamianG3,JumpSteve.git,[],0.5112375
lstierney,recipe-website-backend.git,[],0.446259
MiggiV2,movie-archive.git,[],0.30883873
panmout,AKNNQ-Hadoop.git,[],0.57676166
suaxi,project.git,[],0.0
szantaipeter,homeworks.git,[],0.0
BhaskarN10,j23tProj.git,[],0.7821827
Ignacio-Garro,Catan.git,[],0.71491486
fucks1u,Pacman_2D-Game.git,[],0.4965111
RaMq63,PasswordServices.git,[],0.4025281
ShimFFF,ForChoi.git,[],0.0
wallaceespindola,jbang-scripting-java.git,[],0.48207012
Raiyan-Noor,Duck-Simulator.git,[1095],1.0
zhangbz764,ZTools.git,[],0.41516736
muhammadibrahim1122,HospitalManagementSystem1.git,[],0.5426842
ItsMeJasperr,SharpnessRemove.git,[],0.70800495
guilhermehelton,cronos.git,[],0.0
scaffold1312,fastcampus-mysql.git,[],0.0
Such-eth,programming_logic.git,[],0.25063953
minaripenguin,android_packages_apps_Personalizations.git,[],0.0
hartwigmedical,hmftools.git,[],0.6537601
MsEmily1020,TIL.git,[],0.0
warmsy,TIL_java.git,[],0.0
muhammadmuzaib,CISC3160.git,[],0.0
AnswerCoder,simplify-spring.git,[],0.0
Sangam5756,Data-Structure-and-Algorithms.git,[],0.0
gunwooknam2023,Jpeople.git,[],0.0
pytorch,serve.git,[1456],1.0
tencentyun,TUIRoomKit.git,[],0.35710058
NinNiNanNa,ArtiumProject.git,[],0.51440847
jinganix,webpb.git,[],0.36432737
jhonleturne192005,AgenteMovil.git,[],0.0
doocs,leetcode.git,[1592],1.0
skippy-io,skippy.git,[212],1.0
nicolasmamone,Proyecto_Banco_DTO_Mapper.git,[],0.0
chenglingli,LeetCodeSolution.git,[495],0.9623026
jcat1504,JavaExercises.git,[],0.49512884
apache,kafka.git,[],0.0
Lyzzcw,lyzzcw-im.git,[285],1.0
SofiDevO,proyecto--fullstack.git,[],0.0
adoptium,jdk22.git,[],0.25887182
CristianPadilla,BFFinder.git,[],0.5653825
charles-wangkai,poj.git,[],0.6524315
Blouinbishop,red-black-tree.git,[],0.53801423
josemoyca,tracking_challenge.git,[],0.0
karthickssp,Restproject-openlibrary.git,"[2022, 2172]",1.0
fe11n,ElainaInSpire.git,[],0.5740852
karthickssp,java-project.git,"[2022, 2172]",1.0
choyonghun,codetree-TILs.git,[],0.0
X-MCB,TopologicalSorting.git,[],0.37296346
aapdo,23-2_Software_Engineering_Backend.git,[],0.0
ZHANGBAIFA9,dolphinscheduler.git,[],0.0
SejinPrk,codetree-TILs.git,[],0.0
niangegelaile,Keyboardhidedemo.git,"[62, 95, 142, 159, 169, 200, 272, 339, 342, 436, 437, 930, 941, 1108, 1225, 1486, 1545, 1569, 1650, 1724, 1767, 1970, 2018, 2056, 2098, 2103, 2128, 2263, 2429, 2456, 2643]",1.0
HEMAROKZ,FinalVendingMachineWithFrontend.git,[],0.3813903
Yeo-ok,main.git,[],0.0
Three-Cold-Planets,the-forge.git,[],0.43580526
dayah24,22166034-PBO-Lat54.git,[],0.0
dayah24,22166034-PBO-Lat51.git,[],0.0
ByteLegendQuest,java-is-odd-number.git,[],0.0
RubenCano21,ED1-2-2023.git,[],0.23606504
AdityaSethi,SparkAzureDatabrick.git,[],0.3748113
ishantSikdar,MyCrud.git,[],0.47899836
ltc870,CS131Lab3_LTC.git,[],0.4830883
RafaelPK5,Suporte-Tecnico.git,[],0.0
JamerSC,employee-db-webapp-jsp.git,[],0.31522375
BRAMS-INFO-WORLD,git-first-repo.git,[],0.58242375
kachadarshan,React-Native-Portfolio.git,[],0.25231367
guangxingmao,Commolibrary.git,[],0.0
jenkinsci,neuvector-vulnerability-scanner-plugin.git,[],0.40722415
Princi02,DSA-Problems.git,[],0.67752475
luiz-jolo,bancoOO.git,[],0.39708543
sramirezbdgsa,testdevops-sramirez.git,[],0.47606927
lifedesigner88,git_study_delete_commit.git,[],0.0
VishnupriyaSingh,Stack-Queue-Problem.git,[],0.0
kauenzo,campeoesLOL.git,[],0.0
LucasEPaduam,QuizMobile.git,[],0.0
LaivyData,LaivyData-Java.git,[],0.7146649
Jemaroo,TTYDAnimationSlotTool.git,[],0.5918697
HangX-Ma,cs61b-sp21.git,[],0.0
NicholsSchool,2024-Gobo-Final.git,[],0.0
crDT99,javaTC.git,[],0.2979431
messiarnold,Answers.git,[],0.0
LuisFC7,DSystems.git,[],0.0
jenkinsci,webhook-step-plugin.git,[],0.4314203
adityaprabhu76,flight-booking.git,[],0.56982243
Nabil19M,FCI---AU.git,[],0.38411942
IvanVatroslav,AdidasTesting.git,[687],1.0
FizziMilk,Inventory-Management-System.git,[],0.50648856
flcsc,New-Concept-Repository-.git,[],0.40951693
cs-intro-reichman,hw01-YuvalLevi03.git,[],0.4051617
DadeOrsu,EightTile.git,[],0.46204785
alexsanjr,modelo-dominio-ORM.git,[],0.0
JavidanH,MS.git,[],0.0
XxRexRaptorxX,ParticleSpawner.git,[],0.0
khurozov,myTOTP.git,[905],0.966779
dulev23,Advanced_Programming.git,[],0.46008992
WageeshaR,Enreqad-Services.git,[],0.68179065
onebeastchris,CameraApiTestExtension.git,[],0.41644973
DiscordSRV,Ascension.git,[],0.3197772
sbioss,Projeto-Banco-03.git,[],0.3642752
omarreis01,Intelligence.git,[],0.0
dakusui,valid8j.git,[],0.37146783
Matteo406,m450.git,[],0.0
DelineaXPM,tss-sdk-java.git,[],0.0
00DZnkbl00,ProjektStracMiliona.git,[],0.53436697
jetty-project,embedded-jetty-jersey-weld.git,"[473, 1297, 1498, 236, 788, 2173, 2141, 2445, 909, 740, 1731]",1.0
BillStephens2022,JavaCourseExercises.git,[],0.75274694
joedweb,flightProject.git,[],0.60730517
TIHeitorDS,java_poo.git,[],0.0
apache,logging-log4j-tools.git,[],0.4055396
wcm-io,io.wcm.caconfig.editor.git,[],0.0
USSEndeavour,TreeStructureAnalyzer.git,[],0.33584595
parkhamin,delivery-service.git,"[611, 748, 798, 943, 2029, 2081, 920]",1.0
TheJacksonLaboratory,isopretGO.git,[],0.5851043
fernando-felicio,math-operations.git,[],0.42581746
asymbaev,ecomProject.git,[],0.7278302
MSH,OpenRIMS.git,[],0.39285094
dark-tulip,course-java.git,[],0.5223115
FeivelQutby,ObjectOrientedProgramming.git,[],0.0
OscarNavarrolol,PokePedia-2.0-MVC.git,[],0.7411526
italankin,lnch.git,[2640],1.0
harshilshrma,LeetCode.git,[],0.38588253
Valderezpe,email-service.git,[626],1.0
Milosz-Szymczak,BooksManagement.git,[],0.43289125
akssj,MyFirstWebApp.git,[],0.34968123
balodza,java-interview-workshop.git,[],0.0
Sufi-san,DSA_Journey.git,[],0.31591707
boot2big,immersive_vehicles_vanity.git,[],0.4360886
Riduidel,aadarchi.git,[],0.5379869
Felipe-Tommaselli,POO.git,[],0.0
Ydvaaman,LeetHub.git,[],0.4473109
micronaut-projects,micronaut-platform.git,[],0.0
tink-crypto,tink-java-gcpkms.git,[],0.68480325
Caeden-Mitchell,JavaPaint.git,[],0.39586827
depromeet,10mm-server.git,[],0.0
cs-intro-reichman,hw01-AmitfFishel.git,[],0.4051617
Pascareddum,TheSpoon.git,[],0.37283683
frankframework,frank-doc.git,[],0.0
Shivukumar2202,Practice_Programs.git,[],0.0
lbarbaris,suai.git,[],0.63393587
Veerababu2023,JavaApplication.git,[],0.0
joshnyaga,10k_steps_challenger.git,[],0.38637245
apache,ignite-3.git,[],0.66029465
Rxxbertx,2DAM_ACCESO_A_DATOS.git,[],0.0
hyunisoare,baekjoon_algorithm.git,[],0.5730141
BaseXdb,basex.git,[],0.0
Truly-Modular,Armory.git,[],0.0
jzanatta,Chess-in-Java.git,[],0.30180869
Asharalikhan4,LeetCode-Solutions.git,[],0.5063759
MrLostInTheInternet,spring-boot-ecommerce.git,[],0.5591734
folio-org,mod-fqm-manager.git,[],0.63022023
dipankarroyit,ShortingAlgorithmsByUsingJava.git,[],0.48714948
leonarduk,freecycle-item-finder.git,[],0.5912484
tudorhirtopanu,leetcode-problems.git,[],0.4656367
kellyhumphrey,Java-Programming-I.git,[],0.48297724
Matthew-nop,OSRSCalculator.git,[],0.4329492
faid-terence,CodeLoomJava.git,[],0.46630868
stang1221,MiniGame1Individual.git,[],0.2321191
Public-Grievance-Redressal-System,user-service.git,[],0.327462
XFactHD,PNJ.git,[],0.3695092
Nandan1436,E-Diary.git,[],0.45087805
aravpaladiya,chessengine.git,[373],1.0
AldoMunoz,junopoker.git,[],0.0
germanico51,Bibloteca-Feign.git,[],0.0
getplusm,LastServer.git,[],0.57289517
RobertoVetere,java-springboot-tensorflow.git,[],0.0
Pedroandriel,DataBase.git,[],0.0
giounderrated,multitenant.git,[],0.42581746
lucaslimaromero,Trabalho-POO.git,[],0.0
Manpritkumar,Agam.java-.git,[],0.6458965
Integra7,restApiFileManager.git,[],0.0
crrsj,apiProdutos.git,[],0.58927196
CodeUp-Learning-Programming,CodeUp_BackEnd.git,[],0.37066045
aouuthanapat,ForZlatusik.git,[],0.0
jbrains,replace-singleton-with-collection-example.git,[],0.3798346
nahin-khaan,AutoLinkText-Android.git,[],0.0
dot-base,fhir-server.git,[],0.0
stupid-zhaodongyu,bing-wallpaper.git,[],0.5454172
lucileberger,Threes_Berger_Bourg_Cantie.git,[],0.0
HolgerCG,AppResponsiva_APIRESTFULL.git,[],0.56814015
Saprone,ChatApplication.git,[],0.40003687
MeHow2k,2_Player_React.git,[],0.6848076
TinhoLima,dsmovie.git,[626],1.0
Vladomeme,mousetrap.git,[],0.29399657
LabKey,snprcEHRModules.git,[],0.40726596
sopt-makers,sopt-backend.git,[],0.0
SKibdev,startjava.git,[],0.0
pratu098,Leetcode-Solutions.git,[],0.7205471
lenors,Repositorio.alura.exercicios.git,[],0.0
Leocn,algorithm.git,[],0.0
Ionic-bonds,Remittance_portal.git,[],0.26153854
changhyun9,Road-To.git,[],0.0
resteasy,resteasy-microprofile.git,[],0.0
smirganoff,web2.git,[],0.50386775
Jie-Sheng-88,salesAssignment.git,[],0.5628712
OpenAPITools,openapi-generator.git,[],0.7235918
alyssarose05,GroceryListManager.git,[],0.33053756
yonggari0821,Algorithm-Prob.git,[],0.0
RhyVis,GTNH-BabyHappy.git,[],0.32489443
AnonLuc,CSA.git,[],0.0
sk000801,CodingTest.git,[],0.0
DataBiosphere,consent.git,[],0.0
lostsidewalk,newsgears-broker.git,[],0.0
lostsidewalk,newsgears-api.git,[],0.0
eric-vantunes,projeto-conta-bancaria.git,[],0.37066045
Seong-Hoon-Lim,fastcampus-board-project.git,[626],1.0
selcukes,selcukes-java-skeleton.git,[],0.47034368
DiAyTi2004,Group7_JAVA-School_Bussiness_Tour_Management.git,[],0.5164822
U-Notes,AndroidClient.git,[],0.4883013
tuancamtbtx,cdc-debezium-common.git,[],0.5679142
CaptainBlast096,Advanced_Topics.git,[],0.3287187
unilock,CompatEnchantsCommand.git,[],0.0
ho-ong,coding-test.git,[],0.0
Kotori316,special-octo-happiness.git,[],0.0
yrdsb-peths,final-greenfoot-project-LucAsl14.git,[],0.4051617
