user,repo,simTL,maxSC
Dry-A,Lord_of_the_Rings_Personagens.git,[],0.40284103
parkdu0318,springboot_learning.git,[],0.72906095
HASAPCS,exam-retake-rzzz0.git,[],0.4051617
OWurst,PortfolioProject.git,[],0.46082205
lyswhut,react-native-file-system.git,[],0.43418843
jejinmyeong,algorithm.git,[],0.23606504
levdjepko,HackerRank_Challenges.git,[],0.3312287
HASAPCS,exam-retake-erwynmurphy711.git,[],0.4051617
jip1106,Spring-advanced-Aop.git,[],0.0
jinkwon9301,Java-Algorithm.git,[],0.51763797
invzbl3,MachineLearningProject.git,[],0.4002649
kimhyungseok6398,Java_bagic.git,[],0.0
codylerum,itext-helper.git,[],0.53849757
KelvinPhu,ICT167-principleOfComputer.git,[],0.3197304
Lungdjos,unit_testing_in_java.git,[],0.6126251
xxpaypro,JeepayPlus.git,[],0.0
denersonpinas,alura-oo-java.git,[],0.57074404
Amritanshu2,Leetcode.git,[],0.4473109
kse-music,research.git,[],0.34068727
so34so,Coding_test.git,[],0.51763797
mayzs,ExcelLibrary.git,[],0.61319876
asolntsev,selenium-labs.git,[],0.50302356
cai-jj,train.git,[],0.0
terrarium-earth,Ad-Astra.git,[],0.0
rivkode,CodingTest.git,[626],1.0
thag0,Biblioteca-de-Redes-Neurais.git,[],0.0
osjkate,java-study.git,[],0.0
Hambak-note,coding-test-practice.git,[],0.43580526
mikewacker,drift.git,[],0.7352811
flawmop,edge-svr.git,[],0.75617427
artamonovkirill,extreme-startup.git,[],0.40960512
DystopianRescuer,prepaton.git,[],0.71491486
jiseong0612,spring_study.git,[],0.5740852
dp3why,twitch-trendz.git,[],0.0
Manav-Khandurie,Practice_LeetCode.git,[],0.407046
PJiSung,AuthorAuction.git,[],0.0
moonanddoris,alg.git,[],0.0
Up-Mods,Arcanus-Continuum.git,[],0.37740654
devheesukang,fastcampus-project-board.git,"[473, 1297, 1498, 236, 788, 2173, 2141, 2445, 909, 740, 1731]",1.0
nguyendinhtrieu,spring-base-project.git,[2270],0.8224986
SolBumH,my_study.git,[],0.0
ServontiusT,University-of-Helsinki-Java-Program.git,[],0.29234654
SuperiorExtended,android_frameworks_base.git,[],0.0
HyungcheolSim,OwnWillU.git,[],0.0
nobodyoffc,shadeBitcoinj159.git,[],0.0
sillypantscoder,spc-games.git,[],0.0
Kingcano124,project-jpa.git,[],0.0
Robson-Teixeira,java-spring-boot-3-I-clinic-manager.git,[],0.35779846
qkdk,coding-test.git,[],0.51763797
RamenRobotics9036,Miso-Trainer.git,[],0.61286134
EViasValdez,2119-Algoritmos.git,[],0.5865478
dinasaaur,dinasaaur.git,[],0.5017061
LehiChiang,FightFor2022.git,[],0.0
sharathpatil21,sharathpatil21.git,[],0.5017061
iulian986,java-dummy-project-codeai-copy-20240301032936.git,[],0.41516736
fesh0r,fernflower.git,[1323],0.88207793
dongguo4812,DesignPattern.git,[],0.0
yongjung95,inflearnSpring.git,[],0.0
openMF,ph-ee-integration-test.git,[],0.5258645
itsdrnoob,DataMonitor.git,[],0.39349338
sergueik,springboot_study.git,[],0.4287153
bluestaree,algorithm.git,[],0.7578477
cylorun,Map-Check.git,[],0.3467818
BigHwangTaeYeon,kim_jpa.git,[],0.0
wolfier90,utplPracticum.git,[],0.0
drogatkin,webfolder.git,[1812],0.80856025
DXYvic,idea-gitdemo.git,[],0.72737205
gz-yami,mall4cloud.git,[],0.0
GyeonghwaKim,algorithm.git,[],0.0
omnicoder9,prime-genereration-java.git,[],0.5388381
MrWolfem235,MaratonaJavaAulas.git,[],0.0
lasbrDev,chessgame-consoleapplication.git,[],0.27297902
uuo00n,Flybrid.git,[],0.41516736
ramazansakin,patika-workshop-codes.git,[],0.42169765
AndroidIDEOfficial,AndroidIDE.git,[],0.38399816
Enisuzunn,EbobBulma.git,[],0.0
ban-l,Algorithmic-learning-record.git,[],0.0
soudaripallimanohara,Shopping-Cart.git,[],0.0
gaarason,database-all.git,[],0.0
adnanrahin,Movie-Application.git,[],0.0
slilichenko,dataflow-bigquery.git,[],0.0
nancywan1004,leetcode-notes.git,[],0.0
sladkoff,minecraft-prometheus-exporter.git,[],0.6408586
gudaoxuri,dew.git,[],0.0
ericgrandt,TotalEconomy.git,[],0.42340055
TongchengOpenSource,ckibana.git,[],0.7295045
ViniciusHP,repositorio-estudos.git,[],0.0
eunchaelyu,Codingtest.git,[],0.0
JavaTyler,Neural-Eye.git,[2640],1.0
DonBruce64,MinecraftTransportSimulator.git,[],0.43987134
Anacubits,gerenciadoCafeApp.git,[],0.0
AdsonFreireVieira,Back_LimpPlas.git,[],0.0
f4b6a3,tsid-creator.git,[],0.639301
baomidou,dynamic-datasource.git,[1283],1.0
gabrielluciano,spring-security-fundamentals.git,[],0.41969356
Nomi-CEu,Nomi-Labs.git,[],0.31925854
