user,repo,simTL,maxSC
opendaylight,controller.git,[],0.65409267
Ephram,MyFS.git,[],0.6686209
kumarrohit2002,JAVA_WORKSPACE.git,[],0.734805
chunyuema,leetcode.git,[],0.51102483
amansingh202,java_codes.git,[],0.48159185
dplassgit,d2lang.git,[],0.39279744
notrealqt,oop-project-IU.git,[],0.0
Haaae,web-board.git,[],0.0
lanhaifeng,spring-javafx.git,[],0.0
qyinm,PS.git,[],0.39321825
xenit-eu,opa-java-client.git,[],0.5118647
Syz66,DeathEffects.git,[],0.0
parkkunghyun,C-project.git,[],0.0
mintrosetta,codewar-java.git,[],0.48146352
iPortalTeam,ImmersivePortalsMod.git,[],0.580003
NAVEENWODEYAR,Servlet_JSP_Demo.git,[],0.7278302
JuwoongKim,Algorithm.git,[],0.51763797
inu-appcenter,miniproject-15.5.git,[],0.0
rlfrkdms1,Prog-rangers.git,[],0.0
sweetrpg,CatHerder.git,[],0.50885767
wlaister80,TEST.git,[],0.0
unjunior,treinamento-java.git,[626],1.0
xl-xueling,xl-lighthouse.git,[],0.0
Deepak-Urs,springboot-projects.git,[],0.6517903
enola-dev,enola.git,[],0.4316301
The-Binary-Life,TBL.git,[],0.32438233
imLim0813,Algorithm.git,[308],1.0
kjh8673a,-Algorithm.git,[],0.51763797
runlala,SpringBootScaffold.git,[],0.3608122
FarrelAD,Simple-Clock-Java.git,[],0.47688302
iamtanishqsethi,1.java-program.git,[],0.43580526
Traben-0,Entity_Texture_Features.git,[],0.48993266
Mrbysco,DailyDad.git,[],0.41086435
JustinQiong,leetcode.git,[],0.5279203
devmarufurrahman,kothaiJabneCD.git,[],0.0
rguntu,googlesigninandroid.git,[],0.0
ImmortalTux,FTC_Centerstage.git,[2550],0.8304255
Coyotronics,FRC0-Autonomous.git,[],0.39791963
approachcircle,Pong.git,[],0.57807136
Slidera,demo.git,"[482, 745, 1924, 2184, 2285]",1.0
pshee23,fms.git,[],0.50983554
konveyor,java-analyzer-bundle.git,[],0.4481092
Daniel-Nascimentt,fiap-video.git,[626],1.0
partic2,PxpRpc.git,[],0.31215918
KbIt4Study,Algorithm_Study.git,[],0.0
dhruvabhat24,Weekend-Contests.git,[],0.5449592
networknt,light-tram-4j.git,[],0.62938815
NotRyken,XaeroZoomout.git,[],0.41850352
TakoLavin,BILLETERAELECTR-NICA.git,[],0.0
neojarvis-testing,efbdaaabfdd43388cfeeddacdcbfdfour.git,[],0.0
sgjava,javauio.git,[],0.42588437
MarkTBSS,13_Java_Currency_Formatter.git,[],0.59254664
HyeongSeok-dev,Table_zzimkong.git,[],0.0
SejinPrk,mystudy.git,[],0.0
themaestrocode,aaua_lms_rfid.git,[],0.39006916
Aarsh30,DSA-Placement-Prep.git,[],0.33914724
MCunqzb,zmxy-SLAY.git,[],0.0
MatiasSolisBello,practice_springboot.git,[],0.0
MangoRageBot,MangoBotPlugin.git,[],0.0
OleLukCie,prav.git,[],0.0
Kotori316,QuarryPlus.git,[],0.0
GrapheneOS,platform_packages_apps_Updater.git,[],0.41203338
IribarneAgustin,jukebox-app.git,[484],0.89867026
peer-42seoul,Peer-Backend.git,[],0.36712262
Whalien3520,adventofcode2023.git,[],0.4433132
wdiaz,CommerceSquare.git,[],0.46510917
rebeccabuckingham,jEmu816.git,[],0.51274246
LEAWIND,Third-Person.git,[],0.7017648
joaobasto,AdventOfCode23.git,[],0.61286134
123Arcadia,JavaDemo.git,[],0.47897065
a943356255,GrouthRecord.git,[],0.0
YarelyJ,YarelyJ.git,[],0.5017061
joaopedromf,chess-system-java.git,[],0.37066045
SirJain0,AquaticPlus.git,[],0.74373496
Mbuguajw,Projects-Portfolio-Archive.git,[],0.63823426
klaus464,MAD.git,[],0.41899794
seongtaekkim,code-interview.git,[],0.5912824
MK8BK,HomeChessServer.git,[],0.42010587
TzKarmelo,EspinosaJavierEjerciciosHackABoss.git,[],0.0
Anchor-ZhuoHU,cs61b.git,[],0.0
joshua-domantay,leetcode-problems.git,[],0.6524315
TGX-Android,Telegram-X.git,[],0.61740065
guilhermehenrysilva,todolist-api.git,[],0.38053814
Iron-Lions,main-robot-code.git,[],0.7436005
Jeova-1704,learning-hibernate.git,[],0.0
Ozkin123,pizzeriaPlatzi.git,[],0.0
IanDarwin,javasrc.git,[],0.561078
Serheev,AwsSQSMessenger.git,[],0.39694542
sttk,linebreak-java.git,[],0.35877287
unreal-archive,unreal-archive.git,[],0.43284762
hadi-naqvi,ZenTime.git,[],0.25094268
retrozinndev,TheTraveler.git,[],0.5063759
StefanShivarov,modern-java-technologies-course-fmi.git,[],0.28669807
Swifty1235,Snake.git,[],0.3369401
keaidebocai,woaibocai-parent.git,[],0.0
beeguriri,kafka_v2.5.0.git,[],0.0
Palyon-dev,CustomPortals.git,[],0.4331497
White-OvO,GuiProjectFolder.HOME.git,[],0.5185693
juansparra,Gateway.git,[],0.4364161
PaoloProni75,Project9.git,[],0.0
Alfresco,alfresco-community-repo.git,[],0.0
MyoungSoo7,cicd.git,[],0.0
laveberry,spring-data-jpa.git,[],0.0
TheWinABagel,FakerLib.git,[],0.4673504
Ouatson,Management-Hotel.git,[],0.0
mexerica,GameBoy.git,[],0.42806
lushi78778,Hugin-api-demo.git,[],0.0
parsanoroozi,Kata.git,[],0.0
milesdeboer,Tasks.git,[],0.53061026
Elanrif,chat.git,[],0.6483121
ikklos,SuperGamer.git,[],0.0
Shakib-Ansari11,rediscache.git,[],0.5675374
EdrhianValerioITICB,M13_PROJECT_1_AKAE.git,[],0.65223646
NazarLehkobyt,CPPT_Lehkobyt_NV_KI-305_2.git,[],0.0
adr1anmart1nez,ads-praktika.git,[],0.61286134
nhsconnect,prm-repo-pds-adaptor.git,[],0.27418754
Instituto-Piaget,alterarImagem.git,[],0.37792218
Kosangela,Calendar-API.git,[],0.0
elosivi,Jhipster_TODOAPP.git,[],0.7123887
AutoeverForever,car-gpt.git,[],0.0
displayio,AndroidSample.git,[],0.65391576
zeniehi5,sse-test.git,[],0.0
Asek90,MVCAPP.git,[],0.0
CAScompany,project-OrderService.git,"[716, 209, 958, 1536, 1845, 2303]",1.0
bingqian0328,Safe-distance-detector.git,[],0.24282047
transferwise,openbanking-client.git,[],0.6673431
yannisbel,CoilVision_Arcelor_Mittal.git,[],0.59254664
icatproject,ids.server.git,[],0.70918274
oracle-samples,ojdbc-extensions.git,[],0.33774725
JunggyeMessi,WebServerProject.git,[],0.0
witches-kitchen,WK.git,[],0.74373496
HAMZA0707,Simulateur_de_credit-Jakarta-EE.git,[],0.0
beneite,JAVA-OOPS-Programs.git,[],0.59062105
Simplix-Softworks,SimplixStorage.git,[],0.42370936
gosha212,react-native-72-4-detox-example.git,[],0.6690148
melancholiac99,MSHD_Project.git,[],0.0
AnandakrishnanV,RateScan.git,[],0.39960402
angelsrm1203,Week03Homework.git,[],0.0
IvanSavch,TeachMeSkills_C26_Lesson_14_HW-.git,[],0.46285895
KHIZARABBASI,Android_Tic_Tac_Toe.git,[],0.3928439
eclipse-gmf-runtime,gmf-runtime.git,[],0.0
ymhlx,Me-t-Sh-ngch-ng-s-Management-Foresees.git,[],0.0
spring-guides,gs-crud-with-vaadin.git,[],0.47200012
PXLJavaEssentials,java-essentials-course.git,[],0.53748816
ViktorijaGol,myDemoApp-tests.git,[],0.6963094
KumaCod3,AdventOfCode.git,[],0.7254279
yoonjin99,modernJavaInAction.git,[],0.0
ades-ship,Quiz-Management-system.git,[],0.41861808
indyteo,ExpressMC.git,[],0.3938236
ParkHyeonJoon,TIL.git,[],0.0
bonigarcia,browserwatcher.git,[],0.25639793
alminasener,ToothFairyClinic.git,[],0.45996958
anhtester,PlaywrightJava.git,[626],1.0
Banana-Grease,TrollGUI.git,[],0.70800495
VioletAyatan,paratranz-bot.git,[],0.0
palantir,syntactic-paths.git,[],0.46260425
seohwoo,nongsoonbae.git,[],0.0
ludmil7703,BookShopBG.git,[],0.0
HimashaK,Connect4.git,[],0.42581746
gxstax,spring-framework-5.2.x.git,[],0.0
ArbabsLab,TicTacToe.git,[],0.30670163
thetrotfreak,MCA272.git,[],0.0
Marhabo-R,Mobile-App.git,[],0.6584007
lhero0105,greengram3.git,[],0.0
VivekjeetPatel,PERIODIC_TABLE.git,[],0.0
gsabouzeid,personal.git,[],0.0
GitSumitUp,food_delivery_app.git,[],0.0
League-Level0-Student,level-0-module-4-DJVoidd.git,[],0.4051617
littlehorse-enterprises,lh-examples.git,[],0.38351294
TomoriNao63,java_project.git,[],0.0
yunbi-project,testC.git,[],0.5884919
Xiangyinfly,xiangyin_blog.git,[],0.0
Char1ty,App-Mobile.git,[],0.4316301
KK-Konbannha,13PG.git,[],0.0
ndxt,centit-oa-component.git,[],0.0
