user,repo,simTL,maxSC
quagh03,Huce-Android.git,[],0.62167346
umang1709,neetCodeSolutionsJava.git,[],0.5698276
YangHyeGyo,CodingTest.git,[],0.0
efekos,Simpler.git,[],0.0
hyunjin-h,backend-assignment.git,[],0.0
eritten,BarberingShop.git,[],0.3070917
emendoza96,microservicio-cuentacorriente.git,[],0.55077153
jpmorganchase,swblocks-decisiontree.git,[],0.23353267
gambler1541,SpringCoreBasic.git,[],0.0
JhK941204,collabo_intellij.git,[],0.660894
seoljinuk,collabo_intellij.git,[],0.660894
cadpage,cadpage-parsers.git,[],0.45108032
labsgopi,testreponew.git,[],0.0
MisakaTAT,Shiro.git,[],0.0
WCBBEX,MCWen.git,[],0.74373496
jiangyklala,mini-spring.git,[],0.34230116
ingot-cloud,ingot.git,[],0.0
ZstarsK,WxChatgptBot.git,[],0.0
sakshi1-0,Java-Programs.git,[],0.49948746
GeniusPark119,Algorithm_GeniusPark.git,[],0.0
jhunters,jprotobuf.git,[],0.37882036
EduardoFontenele,neopos.git,[],0.40943855
cotaek2,second_team_project.git,[],0.0
DNGHKM,BOJ.git,[],0.51763797
cosine37,cosgame.git,[],0.5250895
rlozlr,Algorithm_Java.git,[],0.0
Tanza3D,farsand.git,[],0.3454871
NewCodes7,algorithm-study.git,[],0.0
kangbh98,Algorithm-Problem-Solving.git,[],0.0
Sarvesh223,Sorting_Visualiser_minor.git,[],0.33061373
OfficialFox,SkyBlock.git,[],0.5781923
SivansRawat,SIVANS.git,[],0.4473109
Gloic-amber,DistributedClusterMonitoringSystem.git,[],0.42378438
elinkthings,AILinkSDKOtaLibraryAndroid.git,[],0.0
karimgamaleldin,ProblemSolving.git,[],0.4473109
phuongsover1,taco-cloud-spring-in-action.git,[],0.41319847
Hydraulic-Hydras,PowerPlay.git,[],0.7436005
VideepThakur,PresentProject.git,[],0.0
puri-abhishek,Code-Questions.git,[],0.4473109
sjethani1994,Java.git,[],0.5556167
SouthBegonia,Android_Tutorial.git,[],0.0
neojarvis-testing,cdbbbdfee43318cfeeddacdcbfdfive.git,[],0.0
KumarTamilan,Java1.git,[],0.516865
JamieHunstad,guitArchiveService.git,[],0.40955117
ralscha,spring4ws-demos.git,[],0.67566
ralscha,wamp2spring.git,[],0.44058064
ralscha,eds-starter6-mongodb.git,[],0.5074245
ralscha,bsoncodec-annotations.git,[],0.51462436
EngineHub,EngineHub-Bot.git,[],0.39377844
rfresh2,OpenNBT.git,[],0.44400504
midoriSJ,javaAcademy.git,[],0.0
kyangconn,InputMarks-Android.git,[],0.0
s5y-ux,LazerGun.git,[],0.0
gloryYam,security.git,[],0.594668
microsphere-projects,microsphere-spring-boot.git,[],0.0
AnshengAriel,redis.git,[],0.0
adrianosiqueira,hash-tools.git,"[1775, 907]",1.0
Al-Amin14,Project-java---Better-driver-choose-F1-and-normal-.git,[],0.7278302
A2A410,dummy-app.git,[716],0.81995654
Aeldrion,IrisDataGen.git,[],0.68339497
robertovicario,QR-Studio.git,[],0.27840194
weijiaduo,step-algo.git,[],0.0
SimSeongHyeon,study-coding-test.git,[],0.51763797
XxychengychengxX,ycheng-spmall-parent.git,[],0.0
alexl213,FTC-Incognito.git,[],0.7436005
globalreachtech,tinyradius-netty.git,[],0.6784331
stellar,java-stellar-sdk-android-spi.git,[],0.7948653
dquangv,Fpoly-VeganRestaurant.git,[],0.4157956
unplaced,Cafe-Management-System-API.git,[],0.33153683
KiranmaiReddy14,LeetCode.git,[],0.5135827
CassioAvelino,Exercicio_VetoresSimples.git,[],0.49403027
TheComputerizer,Dimension-Hopper-Tweaks.git,[],0.0
mateusfilpo,SpringBatch-ContasBancariasJob.git,[],0.37066045
mrwebc75,java_basic.git,[],0.0
guardianproject,orbot.git,[],0.4262281
sharifOdai,BE-ShoppingWebsite.git,[],0.46069646
McJopa,Travelers_Boots.git,[],0.70352256
glucas038,desafio_corrida_de_kart.git,[],0.57681316
IronCrisp,ProductManager.git,[],0.497464
adoptium,installer.git,[],0.0
wultra,powerauth-server.git,[],0.5667003
AlcantraNetoM,LP2_a22209870.git,[],0.0
RudyTaba1,COMP_272.git,[],0.28437307
thomas5002,WildernessCapstoneApp.git,[],0.0
nathaliafcardoso,Desafio-Run-The-Bank-.git,[626],1.0
Marcos-Gabriell,spring-treinando.git,[],0.52492744
maxueljunior,acougue.git,[],0.0
FilippoBolis,Progetto_ING.Software_23_24.git,[],0.0
swaplicado,siie32.git,[],0.0
DavideBruni,MIRCV_project.git,[],0.3744657
nnamdi16,drone-management-system.git,[],0.397372
AlexCamposSilva,MyFirstProject.git,[],0.0
takaosecond,SampleWeb.git,[],0.4964362
eclipse-ee4j,glassfish.git,[],0.0
Udlateam,Apires-Spring-knn.git,[],0.446259
rebeccanayala,ebac-backend.git,[],0.41516736
adaptris,interlok-expressions.git,[],0.53675413
KameiB,Localizator.git,[],0.67108524
TripleHelixProgramming,Crescendo.git,[],0.7436005
