user,repo,simTL,maxSC
AndrewQuijano,dist-id3.git,"[471, 75]",0.85252166
quentin452,OptimizationsAndTweaks.git,[],0.35070786
yayoung92,Codingtest.git,[],0.51763797
Cantara,grpc-jpms-shaded.git,[],0.36472422
Gebriell,expression_evaluator.git,[2640],1.0
saper6569,RelicRunner.git,[],0.4315534
manasajayasri,100-days-of-Code.git,[],0.392687
League-level3-student,level3-module1-Pangw1n.git,[],0.4051617
goorm-6,algorithm.git,[],0.0
evelyniglesiass,PersonAPIRestFul.git,[],0.0
Bikash-Mainali,redis-protobuf-spring-boot.git,[],0.4622505
Juice-Robotics,CenterStage.git,[],0.5561159
MiddleSand,FusionIDE.git,[],0.0
khsrla9806,algorithm-practice.git,[],0.0
LuijoParada,Proyecto-servicio.git,[],0.0
ph28599,DA1_SP24_N6.git,[],0.0
jar-analyzer,jar-analyzer.git,[626],1.0
armandosalazar,spring.git,[],0.5418061
secretflow,secretpad.git,[],0.391899
daenmax,myadmin.git,[],0.0
lotteon2,dailyon-notification-service.git,[],0.7563595
hobby-hop,hobby-hop.git,[],0.0
gukin-han,algorithm-and-data-structure.git,[],0.3787012
rldnrl,problem-solving.git,[],0.0
menudowithpotato,OOP.git,[],0.0
divyamguptaedu,leetcode.git,[],0.43543398
Robonauts-Everybot,KitBot-CAN-Timed.git,[],0.31227157
UPV-Programacion-Orientada-a-Objetos,git-test-Naydelin11.git,[],0.4051617
Ickssys,Coding_Bat_Solutions.git,[],0.0
amitcjc,TestingB23.git,[],0.0
cadecode,uni-boot-admin.git,[83],1.0
Guzzing,Studay_Server.git,[],0.0
IronDogz2773,2773-2024.git,[],0.0
ghkdtlwns987,ghkdtlwns987-API.git,[],0.0
shota-ootani-excite,spring-boot-training-api.git,[],0.0
erencansev,patika-bootcamp-assignments.git,[],0.49351728
CamperSamu,ItemCommander.git,[],0.5440793
StamfordBridgeCodersCrew,LeetcodeAndInterviewProblems.git,[],0.4208855
BADZA99,SponsorShippApp-JAVAFX.git,[],0.5474966
nextcloud,android.git,"[716, 209, 958, 1536, 1845, 2303]",1.0
Yanyutin753,PandoraNext-TokensTool.git,[],0.0
SkyTechBytes,PlayerStatueBuilder.git,[212],1.0
daniellop199731,SpringBootJPA.git,[],0.5865478
TheEvergreenStateCollege,upper-division-cs.git,[308],1.0
SWM-Overclock,MoHaeng-BE.git,[],0.0
woweiwankuang,knowledge.git,[],0.52395356
luislksfelipe,Curso-Java-Basico.git,[],0.58927196
keiner5212,clases-java.git,[],0.26733732
alvarado-jntn,guitar-social-app.git,[],0.4329492
AaronI45,SecondLibrary-Desktop.git,[],0.0
adolfoiglesias,spring-webservice.git,[],0.5538682
JasomRocha,CRUD-PRV.git,[626],1.0
InkyDChoyee,bootworks.git,[],0.49133542
WHOOZ-23,Algorithm.git,[],0.0
Jakomu,ohjelmointi4-chatclient.git,[],0.7278302
mybatis,redis-cache.git,[232],1.0
flaviodotcom,promocoes.git,[],0.0
POBots-353,2024RobotCode.git,[],0.7436005
guenkim,myPrototype.git,[308],1.0
MEFRREEX,Mines.git,[],0.70800495
