user,repo,simTL,maxSC
adrianoazevedo,airline.git,[626],1.0
gdenes74,uc07.git,[],0.0
SimonJN,YA-Neural-Network.git,[],0.51189566
AnilBASARAN,patika-hafta5-kitap-siralayici.git,[],0.0
ved-asole,eKart-ecommerce-backend.git,[],0.0
GaetanoCarlucci,javadoc.git,[],0.0
Maxonquall,hexlet-assignments.git,[],0.0
Sarbani3pal,Flight-Management-System.git,[],0.38554025
Flintloader-Modules,module-menu.git,[],0.0
gradle,backend-code-project.git,[],0.53445995
martinPrata,entrega_5.git,[],0.51959527
ProttoyAD,DSA.git,[],0.0
AllTheMods,gregitas-core.git,[],0.62167346
SystemaAS,espedsgtvinnsad.git,[],0.63022023
jmix-framework,jmix-onboarding-2.git,[],0.46944064
hadiheib99,spring-mvc-10.git,[],0.36853883
kaliaaaaan,qa_guru_21_project_ui_sportsru.git,[],0.0
4rju9,VideoVerse.git,[],0.407924
merveyilmas,FlightSearch.git,[2420],1.0
vgnshiyer,road-to-full-stack.git,[],0.40058526
eclipse-edc,Runtime-Metamodel.git,[],0.0
Artyiseasy,RestAppMeasurementsOfWeather.git,[],0.0
farukulutas,CS353.git,[],0.31553334
wendersonp,ecommerce.git,[],0.46476692
MrSanketkumar,Pattern_Problem_In_Java.git,[],0.45212442
TristanLeclair,LeetCode.git,[],0.0
GerminalG,A3ID1018.git,[],0.66029465
OlveraIan,BackendSSSA.git,[],0.73518467
cryptomator,cryptolib.git,[],0.0
EnisuVI,TP8-IPO.git,[],0.0
salesforce,carbonj.git,[],0.54356784
FaiyazIfaz,MBIP.git,[],0.40675634
BenjaLuke,ProyectoProgramacion.git,[],0.0
SBS-Computer-Science-A,in-class-common-array-algorithms-seantony.git,[],0.4051617
siddharth-upadhyayula,gameRunner.git,[],0.53315824
Aadipersonal24,ImageMergeV1.git,[],0.34798372
StepanovAndrii,java.git,[],0.5556167
kiuwuw,UAS_RAHMAD-DWIRIZKI-OLDERS_PBO_2024.git,[],0.0
nikecarvaggio,ScreenplayPatter-Appium.git,[],0.5717949
Viniciushfc,desafio-backend-FCamara.git,[],0.0
AlceaXich,Cursos-TI.git,[],0.0
ivelten,multiedit.git,[],0.5727659
wulin-no2,Leetcode_journey.git,[],0.38918167
KyoriPowered,adventure.git,[],0.42101654
