user,repo,simTL,maxSC
0x3EF8,0x3EF8.git,[],0.0
R1PC0RD-4CTU4L,PBC-Preparation.git,[],0.0
Danh02052003,E_Commercial_App.git,[],0.0
Phabala,codetree-TILs.git,[],0.0
forktheonlyone,Funiture-OnlineShop.git,[],0.0
Gears-and-Buccaneers,CompCode2023.git,[],0.7436005
yusnanmaulana,test.git,[876],0.8707178
ravitejajavvadi,HIMS.git,[],0.0
atlassian,data-center-helm-charts.git,[],0.5293693
AlexProgrammerDE,ServerWrecker.git,[],0.3720671
zigad,Charging-Stations-in-Slovenia.git,[],0.39924914
LongAndLee,workspace.git,[],0.2266952
Melthen-bor,Gold.git,[],0.7250689
pushoo-sharma,production_reference.git,[],0.29120862
SeanMuInCa,Java_Practice.git,[],0.6048323
elvis-v12,Sofware_EnvioMensajesAguaCarabayllo.git,[],0.0
SakaiAmusawa,jsd2311_sakai.git,[],0.0
emgs0,dataStructure.git,[],0.42834657
Tesssssssssy,Java_MYSQL_CodingTest.git,[],0.51763797
matheusmedeirosn,Contratos-API.git,[],0.0
TeoBaiocchi,Java_Practicas.git,[],0.0
Gammaprince,DSA.git,[],0.35488105
aiyyra,PMxMAD.git,[],0.0
chiaoyu-yang,dog.git,[],0.0
open-feature,java-sdk-contrib.git,[],0.38435724
Kevinfied,GeometryDash.git,[],0.0
apache,incubator-paimon.git,[],0.41256678
whiteaxesing,TIEMPOS-RESTRICCION.git,[],0.61286134
navalgaikwad,Leetcode.git,[],0.5135827
peng051410,MyPlayWithCompiler.git,[],0.0
carolyn0423,daybydayeggAndroidApp.git,[],0.0
SciBorgs,SciGuides.git,[],0.6517903
choichanhyeok,codetree-TILs.git,[],0.0
Lee-jj,simple-douyin-java.git,[],0.0
NemProject,nem.git,[],0.5354078
homurax,leetcode.git,[],0.48987865
tgv293,63CLC2-MobiDev.git,[],0.0
apache,hive.git,[],0.0
angadraj,DSA.git,[],0.39038554
H-f-society,FSGame.git,[],0.71491486
treaddevs,Library-Card.git,[],0.33637795
ajkluender,CS407Project.git,[],0.7278302
slatepowered,reco.git,[],0.48852766
Mohamedzakri,crud-project.git,[],0.48134476
MasterMaxTs,job4j_design_utils.git,[],0.2904814
AlejandroIsaac,desing-pattern.git,[],0.5865478
alikhanyyan,HotelBookingSystem.git,[],0.0
Nafaan,CalculatorProject.git,[],0.5015208
tlg-23-10-sde-4,BlackJack_Team5.git,[],0.0
oktat,recircle.git,[],0.0
willamyizidro,UEPB-CIENCIADACOMPUTACAO.git,[],0.5433922
Tarun193,Neutron-Language.git,[],0.49167
CiscosProgramming,Sokoban.git,[],0.0
tlg-23-10-sde-4,BlackJack_Team1.git,[],0.0
BetinaCojan,Energy-System.git,[],0.24600916
shatat-ah,Test.git,[],0.0
michal-szyba,suncalc_api.git,[],0.21279526
pawc,ewi.git,[],0.37066045
pvscarelli,FinanceiroEmpresa.git,[],0.4628885
ingla2020,hx2-desk.git,[],0.0
chantingmammal,4946assignments.git,[],0.0
Jawad-Rafiq,authenticator.git,[],0.0
Manupendra,UdemyJavaCourse.git,[],0.0
