user,repo,simTL,maxSC
NaerQAQ,Spring-Bukkit-Plugin.git,[],0.37432706
SanjayCodes04,spboot.git,[],0.0
RyRoRyRo,Comp-Sci.git,[],0.0
joyzheng2510,Unit3Project.git,[],0.5946135
jenkins-infra,pipeline-metadata-utils.git,[],0.43642843
648540858,wvp-GB28181-pro.git,[],0.0
pardana,belajar-jenkins-shared-library-app.git,[],0.5454172
Junobee25,project-board-admin.git,[],0.0
qiwonn,CuteQWidget.git,[],0.0
jorgesanux,test-tecnico-api-bankinc.git,[626],1.0
Eugene-prog,job4j_tracker.git,[],0.0
Thant248,photoUpload.git,[],0.0
ItsAniketSingh,Array.git,[],0.7579636
ESwarEShu007,payxpert.git,[],0.0
DTADMI,spring-tiny-link-generator-api.git,[],0.32281226
catchroom,BE_CatchRoom.git,[],0.0
a347807131,sb-img-util.git,[],0.0
yiren0106,TTFweb.git,[],0.0
Raju-Neduri,Java_Fullstack.git,[],0.36266616
eerussianguy,firmalife.git,[],0.0
JL-III,TitanTools.git,[],0.0
emiryazicii,Java_OOP_Concepts.git,[],0.0
HyeongwookCho,Study_Algorithm.git,[],0.51763797
hl845740757,disruptor2.git,[],0.0
graceframework,grace-data-hibernate.git,[],0.0
Oscfran,Proyecto-compi-V2023.git,"[482, 745, 1924, 2184, 2285]",1.0
kspsatyaprasad,DSA.git,[],0.0
MasJeong,spring-baekjoon.git,[],0.0
CarliCG,Guess-the-number-Java.git,[],0.33864352
ramkumarpj,java-websockets.git,[],0.47121632
ashleyglenn0,group-ashley-1.git,[],0.0
KeepMovingLr,datastructure.git,[],0.54586643
NidhishShah10,MetricConverter.git,[],0.3558857
Bungertown,Towns.git,[],0.5107279
zestbear,StockManager.git,[],0.37584397
binis2,code-generation-spring-configuration.git,[],0.3718878
InsurgenceNetwork-LLC-Development,EcoQuestsBoost-ISetsAddon.git,[],0.61115795
gautamprajapat8,OnlineMart.git,[],0.40434968
stonewm,sap_interface_jco3.git,[285],1.0
Morgon-GH,EchoCraft-I.git,[],0.23606504
17kowshik,Java_Oasis_Infobyte.git,[],0.43674904
TuanAnh2502,Android.git,"[62, 95, 142, 159, 169, 200, 272, 339, 342, 436, 437, 930, 941, 1108, 1225, 1486, 1545, 1569, 1650, 1724, 1767, 1970, 2018, 2056, 2098, 2103, 2128, 2263, 2429, 2456, 2643]",1.0
kursph,spring-boot-project.git,[],0.42738548
incheol789,Async.git,[],0.0
Abhirup16,Social-Media-LLD.git,[],0.42209682
SayvIlahsiav,BatchImageInverter.git,[],0.3496811
rohitumadi,quiz-microservice.git,[],0.3237011
Matiej,spring-sec-acl.git,[],0.4047665
SimonHarmonicMinor,rich-domain-model-talk-code.git,[],0.5586261
java-learncodedecode,java-learncodedecode.git,[],0.5017061
muhammadrafii23,MuhammadRafii-2110010115-UTS.git,[],0.0
seif-esmael,Command-Line-Interpreter.git,[],0.5053971
dlawjddn,GPT-Counselor.git,[],0.7278302
siroxxx,Battleship.git,[],0.71491486
siladev,proyecto-final-java.git,[],0.0
royyone,CertificateProject.git,[],0.0
ermoiz2102,Basic-bank-application.git,[],0.42986897
mukeshlomror,Expense-Tracker-API.git,[],0.5310418
YeahLim,ChicoChico-Algorithm.git,[],0.0
ifeisier,Tools.git,[],0.0
BHAVANANS,TestVagrantTest.git,[],0.0
skanderellouze94,littlepay.git,[],0.0
airamez,JavaIntro.git,[],0.51545113
oxorb13,TA_Prak_PPB.git,[],0.0
twincodevn,spring-core.git,[],0.7406439
YuqingXiong,SpringFramework.git,[],0.0
veronikasnigur,course_work_inverted_indexing.git,[],0.38336134
AnirudhSharmagithub01,LeetCode.git,[],0.4473109
thomas-2020,entirex-broker-metrics-exporter.git,[],0.39343166
telioev-dev,Huawei_IP_MPLS.git,[],0.0
LimeChain,Fruzhin.git,"[1150, 128, 1070, 348, 991, 2076, 2273]",1.0
Querisek,Client-Server-Chat.git,[],0.4065917
zrminkim,Algorithm.git,[],0.51763797
abhishekjain1416,inventory-service.git,[],0.32968217
bytes-Coding-official,MelikeJavaKlausurvorbereitung.git,[],0.0
QASIM-LOKHANDWALA,Java-Game-Stack.git,[],0.33800727
thatshawt,genes.git,[],0.5740852
NadirInab,AFTAS_management.git,[],0.42841434
linzepore,drink-sys-server.git,[],0.0
PolicLL,College-Java-Programming.git,[],0.47602797
kristiyanbstoychev,Automation-QA-template-gradle-project.git,[],0.41896826
kantu18,Ticket_Reservation_system.git,[],0.4940053
automationtechno26,CoreJava.git,[],0.0
ChangGyu-Ryu,was-practice.git,[],0.0
Hugo-change,-Test-.git,[],0.0
tonji03,PortaleBanca.git,[],0.4989737
pwipo,fsm.git,[],0.0
souravbanerjee,blind-auction.git,[],0.37971666
gupta-saransh,ChatApplication.git,[],0.45848125
otavanopisto,muikku.git,[],0.0
aamosm,JNScraper.git,[],0.20847508
Raed-93,Java.git,[],0.0
crazypon,GitDraft.git,[],0.40577987
shrawaninilange,DairyProject.git,[],0.73412466
UsainSrht,DamageIndicator.git,[],0.49173427
AviG01,Bank-Manager.git,[],0.0
angegx,coinExchange.git,[],0.58766955
J4d4-M4thele,Java_for_Dummies.git,[],0.33972675
AlexMalinovski,java-explore-with-me.git,[],0.41899794
vpinna80,VTL.git,[],0.0
JoeYong,goof.git,[],0.0
Wasselucasjp,challenge1-alura.git,[],0.0
digitar120,users-app.git,[2270],1.0
juanda2984,minData.git,[],0.0
otaviohenrique-dev,java-collections.git,[],0.47587293
DVSrihari123,MyInternshipProjects.git,[],0.51973087
dominikcirko,ASBP-SSO-projekt.git,[],0.36079907
Laszlo2000,Vehicle.git,[],0.0
vtvarun,MyNotepad.git,[],0.30757263
MaelSemper,PierreSabre.git,[],0.0
Iwiish,PierreSabre.git,[],0.0
Oranges06,demo1.git,[285],1.0
alexmaximoff,2023-09-otus-sprig-Maximoff.git,[],0.0
lore-corrias,PierreSabre.git,[],0.0
SnikFernando,migrationApi.git,[],0.0
saurabh73,competitive-programming.git,[],0.39385998
coraab2384,PolyRats.git,[],0.47617626
Informatik-Projekt-Kurs,backend.git,[],0.38835847
ruthkyx,vttp-mini-proj-1.git,"[388, 2622]",0.8083164
pseudoforceyt,PlayerBiomes.git,[],0.42581746
vlingo,xoom-graphql.git,[],0.52994806
io7m,percentpass.git,[],0.39964223
io7m,jcolorspace.git,[],0.39970976
io7m,minisite.git,[],0.556054
io7m,jwhere.git,[],0.67901474
io7m,junsigned.git,[],0.0
io7m,jranges.git,[],0.50562125
io7m,flail.git,[],0.6802405
yasharchit92,HelloWorld_Android.git,"[209, 958, 1536, 1845, 2303, 716]",1.0
Andrei32Ionescu,JetBrains-Task-1.git,[],0.5955235
KUSHAGRA0107,Binary-Tree-Implementation-In-Java.git,[],0.47897065
fernando-felicio,bureau-census.git,[],0.33279413
Duhzera,DiagramaDeClasseUMLIphone.git,[],0.0
gniadeck,jCalendarUrls.git,[],0.4741186
SefaWork,ATM-Simulator-Java.git,[],0.499026
marc726,Chess.git,[],0.62167346
CoeOmnichannel,Cordova-BrowserTab-OS.git,[],0.0
TYLPHE,spring-boot-angular.git,[],0.7620708
leobyang,TicTacToe.git,[],0.0
cs-intro-reichman,hw02-yaelsas.git,[],0.4051617
Tientester,Exercise-JavaOOP.git,[],0.0
gbrayhan,java-robot-cursor.git,[],0.0
openrewrite,rewrite-openapi.git,[],0.0
stklcode,jvaultconnector.git,[],0.42630526
zone2002,sky-take-out.git,[],0.0
codervega,javapractice.git,[],0.28778762
N-yua,report6.git,[],0.0
cppenloglou,My-LeetCode-Journey.git,[],0.0
cs-intro-reichman,hw05-tamirgl.git,[],0.4051617
Patryk-Kosmider,Java-Order.git,[1931],0.8103643
Thangamuthul,cloudBees-codeChallenge.git,[],0.41230115
VeronikaGolikova,QA_GURU_HW_3.git,[],0.0
hackclub,HCCore.git,[],0.5660452
andrewauclair,ModernDocking.git,"[40, 225, 284, 531]",1.0
buhaiovos,cloud-native-task01.git,[],0.49914622
wahidabdul0120,MyFirstProject1.git,[],0.49946597
Merman1,SerwisSamochodyBack.git,[],0.0
SouravSahoo08,Microservices-demo.git,[],0.60580933
CycriLabs,keycloak-configurator.git,[],0.4730674
kivattt,capitalizeksupronouns.git,[],0.38480625
burakkesin,Amadeus-Case.git,[],0.0
cmeza20,spring-data-generator.git,[],0.0
rishabhshah2005,Number-Guessing-Game.git,[],0.5426842
nidhi-singh02,problem-solving.git,[],0.0
eaxelt7077,jira-excel-importer.git,[],0.0
OffRange,KeyGo.git,[],0.44532666
SivansRawat,GFG_DSA.git,[],0.3815432
TriQue06,warden-tools-1.20.x.git,[],0.0
shivteja1597,BasicGit.git,[],0.5249974
gildrausNV,inventory_managment_system.git,[],0.40356323
kimmainsain,Problem-Solving.git,[],0.51763797
lewmilburn,Essence.git,[],0.6013403
TEAM-528,problem-solving.git,[],0.0
tauimonen,library-app-project.git,[626],1.0
bilgesucakir,flightsearchapi.git,[],0.0
Ajn09,Cupcake-Moblie-Application.git,[2640],1.0
minkey-hand-foot,moneyisinvest-backend.git,[626],1.0
shuxuecode,funimg.git,[],0.0
chauhannaveen083,JavaDS.git,[],0.0
DhineshDhino,WhatToCook-backend.git,[],0.32979202
Leonofv,StorehouseJavaSpring.git,[],0.0
Conor-Ryan8,Smart-Home.git,[],0.31126148
pkozlovsky,CS_JAVA1_course.git,[],0.29216182
DarkNando29,dinamicmodels.git,[],0.44262564
axonibyte,axb-lib-db-java.git,[],0.506243
chauhannaveen083,Java.git,[],0.0
UtkarshPathrabe,Spring-Framework---Documenting-Spring-Data-Rest-APIs-with-Swagger-and-Springfox---Pluralsight.git,[],0.43514132
alexonthespot7,Tic-tac-toe_backend.git,[],0.57140696
Ksenni888,java-explore-with-me.git,[],0.41899794
epos-eu,epos-datamodel-beans.git,[],0.43253204
ArupashishMohanty,Hibernate_Java.git,[],0.42707762
cs-intro-reichman,hw03-Yoav221.git,[],0.4051617
RyuJungSik,Java-Basic.git,[],0.0
AzizNwazi,Hafiza_oyunu.java.git,"[482, 745, 1924, 2184, 2285]",1.0
vyashemang,sample-argocd-api.git,[],0.62937963
project-Volunteer,BackEnd.git,[626],1.0
Heltrato,muddyroutes.git,[],0.5891409
tkuenneth,clip4moni.git,[],0.6731164
BakangMonei,photo-editor-android.git,[],0.37367588
hemantr07,myFlashlight.git,[],0.0
canl,github-actions-example.git,[],0.7426894
lzyer2016,travel-search-suggest.git,[],0.63292676
tymull,ImageEditor.git,[],0.3196301
pks9862728888,spring-boot-caching.git,[],0.5445119
sudharsun003,OOPSPRACTICE.git,[],0.0
SteveKunG,SteveKunG-Lib.git,[],0.52624285
yashkashyap2198,Core-Java.git,[],0.0
JetElves,elves-parking.git,[],0.0
yuehan123-ui,cookie-demo1.git,[],0.0
rbjDev,Java-programs.git,[1909],0.8259899
abmath113,Anuvadak.git,[],0.0
SadyNeto01,Salary-Management.git,[],0.46260396
dnd2dnd,coding-test.git,[],0.0
