user,repo,simTL,maxSC
Galaxia5987,Common.git,[],0.78379506
hcsp,multiply-divide-with-bit-operation.git,[],0.39340156
gguptha,paperflow-api.git,[],0.72605187
krystof-cejchan,Lite-Java-Weather-Library.git,[],0.3850963
zhinan-withwind,ChineseCalendar.git,[],0.637712
lalewis7,leetcode.git,[],0.441547
tencentyun,TUIRoomKit.git,[],0.0
hcsp,hexadecimal-character.git,[],0.39340156
shenzhinishimeng,Lib_Defect2.git,[],0.0
indiainnovationinc,falcon-sim-binding-sample.git,[],0.0
piomin,sample-spring-cloud-webflux.git,[],0.67057854
KimKwangyeon7,JavaAlgorithm.git,[],0.51763797
DeveloperAcademy-POSTECH,MacC-Team8-2HoSun-Server.git,[],0.0
Nijin-P-S,Leetcode.git,[],0.44041866
MadkevOP7,todo-list.git,[],0.0
xvanausloos,udemy_apacheSpark_forJavaDevelopers.git,[],0.62122566
JunaidKhan44,Spring-MVC-CRUD-WITH-JSP.git,[2640],1.0
Byjubhavana,Dummypractice.git,[],0.47897065
abdeLKabir-56,jee_tp.git,[],0.38605374
xllcarlos,IFS-AED1.git,[],0.0
Norton-Lin,algorithm.git,[],0.0
ZMFrench,Kattis-Solutions.git,[],0.6174043
SimpleGraduationProjects,CampusVolunteerActivityManagementSystem.git,[],0.0
FoundryMC,Veil.git,[],0.0
Leutenantrana,challenge-.git,[],0.0
KvalitetsIT,medcom-vdx-healthcheck.git,[],0.5227111
cloudcampla,react-native-app.git,[],0.0
aishwarya-utale,employeedetails.git,[],0.5314989
Pranavkotesh,Practice-Questions.git,[],0.53088313
acalmcat,RockPaperScissors2.git,[],0.0
Hickey17,INFO5100.git,[],0.47897065
AleksandrButakov,pinout.git,[],0.5190454
KYUHEON-LEE-94,webflux_study.git,[],0.0
founchoo,car-rental-platform.git,[],0.0
smartboot,smart-socket.git,"[40, 225, 284, 531]",1.0
JorgeSarricolea,Bouncing-Ball.git,[],0.3541852
n9tank,rwmodProtect.git,[],0.0
Klip5a,memory-match.git,[],0.4649338
PdrArth,AgendamentoTCC.git,[],0.71892065
lxy6880,lxy-miNotes.git,[],0.0
diegop19,Proyecto-3_POO_Criptografia.git,[308],1.0
ViguerOrg,MicroComments.git,[],0.0
Xeoz24,EstructuradeDatos.git,[],0.0
League-Level1-Student,level1-module1-ellianalai.git,[],0.4051617
Ontheheavens,Ship-Editor.git,[],0.28046465
TianchenGuan,UT.git,[],0.0
RPTools,maptool.git,[],0.36447895
bcrow99,DeltaEncoder.git,[],0.5775316
lionmage,tungsten-types.git,[],0.25194213
blackboxembedded,WunderLINQ-Android.git,[],0.0
huriver,sky-take-out.git,[],0.0
Funssion-SWM,Backend.git,[],0.0
csm0617,study.git,[],0.0
