user,repo,simTL,maxSC
practicum-java,java-kanban.git,[],0.7278302
hhansromero,learning-management-api.git,[],0.446259
stateofzhao,zfun.git,[],0.0
rainman226,bookish.git,[],0.50096303
vengateshm,springboot-practice.git,[],0.47272456
sunnyygautam,shopping_cart.git,[1509],0.8486815
tiagojordao,Pet-OpenJML.git,[626],1.0
Conway-Inc,api-coleta-dados-maquina.git,[],0.0
sujith-es,autometrics-demo.git,[],0.0
sajia1098,Capstone-project.git,[],0.0
Arti-Dev,Pocketknife.git,[],0.36507875
SaggyMassiveFuckingSackOfCode,AquaTake.git,[],0.0
Latte0728,sPringProject.git,[],0.0
ksenijaiost,TelegramBot.git,[],0.0
jdbi,jdbi3-oracle12.git,[484],1.0
fgb414621,fileOperation.git,[],0.0
EdilsonFranca,telephonebook007api.git,[],0.0
oopoo123,jsp_chapter08.git,[],0.0
Lujiewei,book-core-java.git,[],0.7553104
adonadel,controle-estoque-backend.git,[],0.37066045
MiguelBrucil,PagosRol.git,[],0.0
ParkSeonBin,ShoppingMall.git,[626],0.8208753
gyojincompany,jsp_ch08-20231211.git,[],0.0
ivaylovivanov,java_masterclass.git,"[482, 745, 1924, 2184, 2285]",1.0
jubeju555,2023-freshman-year.git,[],0.432136
EvanPolk,chess_index.git,[],0.48383507
LisandroCanteros,microservices-spring-app.git,[],0.44914845
imDMK,DoubleJump.git,[],0.43531674
prestoncarroll1,NihonSchool.git,[],0.0
kirisaki-momotaro,data-structures.git,[],0.0
dlloyd662,demo.git,[],0.78263295
saraelbana,backend-java-pokemon-interface.git,[],0.42275354
Laboratorio-01,UTNFinalProject.git,[],0.61286134
pawelkozolub,spring-boot-stock-portfolio-tracker.git,[],0.39391118
INSO-TUWien,actconawa.git,[],0.0
DePaul17,Message-server-Java.git,[],0.43534172
VladSmirnou,AbstractFactoryPattern.git,[],0.5987037
Samolo972,Ratatouille.git,[],0.0
ItsArtyomka,TelegramCurrencyBotProject.git,[],0.5165623
Elia31,Java_eHealth_WS2122.git,[],0.5853179
webcane,readme-app.git,[],0.41966158
XamosMadrid,xsurveys.git,[626],1.0
archmageirvine,jilt.git,[],0.0
ManojModhale,CODSOFT-JAVA-Task5-Address_Book_System.git,[],0.38762346
Rahu09,loan_management.git,[],0.4763248
ForTheCrown,Grenadier.git,[],0.61187243
GBerezin,ConsecJ.git,[],0.0
juancho68,TP_Final_Java_23559_Fantastic5.git,[],0.0
Pythonist-ux,HERMESFINAL.git,[],0.0
tysonw662,motorLab.git,[],0.42699978
AmbarSarai,TVDBv.2.git,"[482, 745, 1924, 2184, 2285]",1.0
cmakkaya,Ln-D07-full-CI-CD-pipelines-for-microservice-based-dynamic-app.git,[],0.50332415
xBigJhow,BirthdayReminder.git,[],0.37066045
lastlightR,Lingle.git,[],0.38805375
pilipoki,CellPhoneProjectDarie.git,[],0.0
qwer7824,gEov.git,[],0.0
hku2002,practice-webflux.git,[],0.0
Luis-Fernando-Almeida,Calculadora-de-imposto.git,[],0.0
futuralrobotics,FuturalSdkDemo.git,[],0.5887607
Sibiryaq,java-kanban.git,[],0.7278302
Taratorin,java-shareit.git,[],0.41899794
Tamer00775,yerapizza.git,[],0.7278302
JasonLiang300,echain_frontend_androidAPP.git,[],0.0
karnhao,01418232-algorithm-design-and-analysis.git,[],0.0
fatih-sukran,Rent-A-Car.git,[],0.7278302
agora-sa,JKZY-RTC.git,[],0.0
marmikpatel19,Technical-Interview-Prep.git,[],0.37484586
freezetheflame,NJUSE-COA23.git,[],0.61286134
gluehloch,registrationservice.git,[],0.5227111
CountToFiveXY,JasonUtils.git,[],0.0
descope,descope-java.git,[],0.3254023
JakerHXR,Software-manage.git,[],0.0
Bhaiyya12,HomeLoan.git,[],0.0
wpilibsuite,GradleRIO.git,[],0.42913696
ejaquep74,opening-explorer.git,[],0.43301398
kasthurisinghe,carRent.git,[],0.5524525
samsanket,FinWise.git,[],0.32688206
queider,MorePrati.git,[],0.61286134
kiwi6185,Dec2023.git,[],0.0
fariosofernando,multi-language-benchmark.git,[],0.0
lautarodellamea,java-bootcamp-lucas-moy.git,[],0.0
dropwizard,dropwizard-flyway.git,[],0.4298829
ssobue,markdown-slide.git,[],0.0
iKrockle,Homework15.git,[],0.0
dromelvan,d11-boot.git,[],0.5747739
fatih3457,java-practices.git,[],0.35717332
reportmill,SnapCode.git,[],0.51569283
Pernudo,FP_Practice.git,[],0.29771945
SkyMound,drone-delivery-solvers.git,[],0.36040643
Flectone,FlectoneMix.git,[],0.30383146
rxue,dictionary.git,[],0.0
mjcro,circular.git,[],0.62024117
Legend-of-Dragoon-Modding,Legend-of-Dragoon-Java.git,[894],0.823702
Nessiesson,CutelessMod.git,[],0.6396897
bergerhealer,MyWorlds.git,[],0.5795005
augustocesarsousa,engenharia-de-software.git,[],0.4030289
starfish-studios,AnotherFurniture.git,[],0.50202835
exbin,bined-lib-java.git,[626],1.0
TRUEC0DER,mwl.git,[],0.5918684
quarkiverse,quarkus-cxf.git,[],0.46993124
brotenet,netbeans-sqlite-tooling.git,[],0.0
hakandereli,MyHackerRank.git,[],0.36462024
Aayush-Joshi-01,Chess.git,[],0.38701478
TwelveIterationMods,Balm.git,[],0.5185189
davemeier82,homeautomation-zigbee2mqtt.git,[484],1.0
Jyothi2024,Selenium-POM-Framework.git,[],0.47897065
meliuos,E-Commerce-Project.git,[],0.0
MarlonMaiaa,Biblioteca.git,[],0.0
noushad970,PSTU-CSE-2019.git,[],0.4211009
Rgulati4657,JavaPractice.git,[],0.49948746
AppkubeCloud,common-security-rbac-service.git,[],0.58089703
zoubairhouta,Algorithms-leetcode-.git,[],0.3225407
iabhi007,DesignPatterns.git,[],0.52410275
escuderodev,fiap_postech_arquitetura_java.git,[],0.57074404
psobiech,opengr8on.git,[],0.4170598
Diegohrp,Challenge-ONE-CurrencyConverter.git,[],0.48676103
xyzell,OOP_UAS.git,[],0.0
John1Souza,todosimple-api.git,[1095],1.0
javiorfo,FP.git,[],0.47085235
victor-azevedo,vollmed-api.git,[],0.0
ashwani-cse,spring-bean-validations.git,[],0.40220195
Mehrdad-Ghaderi,Project-Management.git,[],0.0
xipki,xi-pki.git,[],0.4295838
karas070707,Mlogistic22222222.git,[],0.47761554
ChristopherRoelle,AdventOfCode-Java.git,[],0.46192908
DewmithMihisara,car-rental-hibernate.git,[],0.53428996
jchaconv,spring-cloud-msvc.git,[],0.47451124
Kareem-Bizreh,cinema.git,[],0.46204785
RohanR21,JavaTest_1.git,[],0.7072224
Rishijha33,Ecommerce-Website.git,[],0.4529366
jeonhyoungmin,hm-BaekJoon.git,[],0.51763797
esmBot,lava-xm-plugin.git,[],0.5156826
younsookim365,speeding_fine_calculator.git,[],0.594151
programacionparaaprender,jwt-tutorialma.git,[],0.58529794
Carla-de-Beer,spring-6-rest-mvc.git,[],0.41982296
jlcorradi,microservices-project.git,[],0.7278302
afonsoabc36,SD-Project.git,[],0.43175155
cenuno,head-first-java.git,[],0.5394124
yaskovdev,genetic-programming-robocode.git,[],0.7250689
HosamUsf,Coder-Square.git,[],0.28758752
Buuz135,FunctionalStorage.git,[],0.0
TomaszGryczka,FungiSeeker.git,[],0.42164725
ehsan-torabi,Zoo.git,[],0.6133661
imakashgusain,LearningSpring.git,[],0.29905498
TURPCUN,GameMingle.git,[],0.0
estebanbri,starter-observability-with-otel-spring-boot-starter.git,[],0.0
cs-intro-reichman,hw02-LironTal01.git,[],0.4051617
Chaosfirebolt,roman-numeral-converter-backend.git,[],0.4364161
SkJsonTeam,skJson.git,[],0.42581746
cs-intro-reichman,hw02-mekonenlior.git,[],0.4051617
maximerenardhepl,RTI_23_24.git,[],0.5271501
emilyploszaj,emi.git,[],0.52444285
datengaertnerei,test-data-service.git,[],0.392556
brtmvdl,java.git,[],0.6517903
orangemaxx,FirstMod.git,[720],0.81688225
decentralized-identity,uni-resolver-driver-did-indy.git,[],0.6061412
AzBuilder,terrakube.git,[],0.62190527
