id,group,aritfact
649037107316853453566312041152512,io.netty,netty-transport
1298074214633706907132624082305024,org.springframework,spring-web
2596148429267413814265248164610048,org.springframework,spring-context
5192296858534827628530496329220096,org.apache.dubbo,dubbo-serialization-api
10384593717069655257060992658440192,org.apache.dubbo,dubbo-remoting-api
20769187434139310514121985316880384,com.alibaba,hessian-lite
41538374868278621028243970633760768,io.netty,netty-codec-http2
83076749736557242056487941267521536,com.google.protobuf,protobuf-java
166153499473114484112975882535043072,org.springframework,spring-test
332306998946228968225951765070086144,org.apache.commons,commons-compress
664613997892457936451903530140172288,io.reactivex.rxjava2,rxjava
1329227995784915872903807060280344576,io.projectreactor,reactor-core
2658455991569831745807614120560689152,io.netty,netty-all
5316911983139663491615228241121378304,org.hibernate,hibernate-validator
10633823966279326983230456482242756608,org.glassfish,javax.el
21267647932558653966460912964485513216,org.apache.dubbo,dubbo-remoting-zookeeper
42535295865117307932921825928971026432,org.apache.dubbo,dubbo-rpc-rest
85070591730234615865843651857942052864,org.apache.dubbo,dubbo-filter-cache
170141183460469231731687303715884105728,org.apache.dubbo,dubbo-filter-validation
340282366920938463463374607431768211456,org.apache.dubbo,dubbo-registry-multicast
680564733841876926926749214863536422912,org.apache.dubbo,dubbo-registry-zookeeper
1361129467683753853853498429727072845824,org.apache.dubbo,dubbo-configcenter-zookeeper
2722258935367507707706996859454145691648,org.apache.dubbo,dubbo-metadata-report-zookeeper
5444517870735015415413993718908291383296,io.grpc,grpc-protobuf
10889035741470030830827987437816582766592,io.grpc,grpc-stub
21778071482940061661655974875633165533184,io.grpc,grpc-netty-shaded
43556142965880123323311949751266331066368,io.envoyproxy.controlplane,api
87112285931760246646623899502532662132736,com.google.protobuf,protobuf-java-util
174224571863520493293247799005065324265472,org.bouncycastle,bcprov-jdk15on
348449143727040986586495598010130648530944,org.bouncycastle,bcpkix-jdk15on
696898287454081973172991196020261297061888,org.bouncycastle,bcprov-ext-jdk15on
1393796574908163946345982392040522594123776,org.apache.dubbo,dubbo-container-api
2787593149816327892691964784081045188247552,org.apache.dubbo,dubbo-rpc-triple
5575186299632655785383929568162090376495104,org.apache.dubbo,dubbo-config-api
11150372599265311570767859136324180752990208,org.springframework.security,spring-security-core
22300745198530623141535718272648361505980416,org.springframework.security,spring-security-oauth2-client
44601490397061246283071436545296723011960832, com.fasterxml.jackson.datatype,jackson-datatype-jsr310
89202980794122492566142873090593446023921664,org.reactivestreams,reactive-streams
178405961588244985132285746181186892047843328,org.apache.dubbo,dubbo-qos-api
356811923176489970264571492362373784095686656,org.apache.dubbo,dubbo-metrics-api
713623846352979940529142984724747568191373312,io.micrometer,micrometer-test
1427247692705959881058285969449495136382746624,io.micrometer,micrometer-tracing-integration-test
2854495385411919762116571938898990272765493248,org.apache.httpcomponents,httpclient
5708990770823839524233143877797980545530986496,org.apache.dubbo,dubbo-compatible
11417981541647679048466287755595961091061972992,org.apache.dubbo,dubbo-compiler
22835963083295358096932575511191922182123945984,org.apache.dubbo,dubbo-config
45671926166590716193865151022383844364247891968,org.apache.dubbo,dubbo-configcenter
91343852333181432387730302044767688728495783936,org.apache.dubbo,dubbo-configcenter-apollo
182687704666362864775460604089535377456991567872,org.apache.dubbo,dubbo-configcenter-nacos
365375409332725729550921208179070754913983135744,org.apache.dubbo,dubbo-container
730750818665451459101842416358141509827966271488,org.apache.dubbo,dubbo-container-spring
1461501637330902918203684832716283019655932542976,org.apache.dubbo,dubbo-dependencies
2923003274661805836407369665432566039311865085952,org.apache.dubbo,dubbo-dependencies-zookeeper
5846006549323611672814739330865132078623730171904,org.apache.dubbo,dubbo-dependencies-zookeeper-curator5
11692013098647223345629478661730264157247460343808,org.apache.dubbo,dubbo-distribution
23384026197294446691258957323460528314494920687616,org.apache.dubbo,dubbo-bom
46768052394588893382517914646921056628989841375232,org.apache.dubbo,dubbo-filter
93536104789177786765035829293842113257979682750464,org.apache.dubbo,dubbo-kubernetes
187072209578355573530071658587684226515959365500928,org.apache.dubbo,dubbo-metadata
374144419156711147060143317175368453031918731001856,org.apache.dubbo,dubbo-metadata-report-nacos
748288838313422294120286634350736906063837462003712,org.apache.dubbo,dubbo-metadata-report-redis
1496577676626844588240573268701473812127674924007424,org.apache.dubbo,dubbo-metadata-processor
2993155353253689176481146537402947624255349848014848,org.apache.dubbo,dubbo-metadata-definition-protobuf
5986310706507378352962293074805895248510699696029696,org.apache.dubbo,dubbo-metrics
11972621413014756705924586149611790497021399392059392,org.apache.dubbo,dubbo-metrics-registry
23945242826029513411849172299223580994042798784118784,org.apache.dubbo,dubbo-metrics-prometheus
47890485652059026823698344598447161988085597568237568,org.apache.dubbo,dubbo-metrics-metadata
95780971304118053647396689196894323976171195136475136,org.apache.dubbo,dubbo-metrics-config-center
191561942608236107294793378393788647952342390272950272,org.apache.dubbo,dubbo-monitor
383123885216472214589586756787577295904684780545900544,org.apache.dubbo,dubbo-monitor-api
766247770432944429179173513575154591809369561091801088,org.apache.dubbo,dubbo-monitor-default
1532495540865888858358347027150309183618739122183602176,org.apache.dubbo,dubbo-native
3064991081731777716716694054300618367237478244367204352,org.apache.dubbo,dubbo-native-plugin
6129982163463555433433388108601236734474956488734408704,org.apache.dubbo,dubbo-maven-plugin
12259964326927110866866776217202473468949912977468817408,org.apache.dubbo,dubbo-plugin
24519928653854221733733552434404946937899825954937634816,org.apache.dubbo,dubbo-auth
49039857307708443467467104868809893875799651909875269632,org.apache.dubbo,dubbo-security
98079714615416886934934209737619787751599303819750539264,org.apache.dubbo,dubbo-reactive
196159429230833773869868419475239575503198607639501078528,org.apache.dubbo,dubbo-spring-security
392318858461667547739736838950479151006397215279002157056,org.apache.dubbo,dubbo-registry
784637716923335095479473677900958302012794430558004314112,org.apache.dubbo,dubbo-registry-multiple
1569275433846670190958947355801916604025588861116008628224,org.apache.dubbo,dubbo-registry-nacos
3138550867693340381917894711603833208051177722232017256448,org.apache.dubbo,dubbo-remoting
6277101735386680763835789423207666416102355444464034512896,org.apache.dubbo,dubbo-remoting-netty
12554203470773361527671578846415332832204710888928069025792,org.apache.dubbo,dubbo-remoting-zookeeper-curator5
25108406941546723055343157692830665664409421777856138051584,org.apache.dubbo,dubbo-rpc
50216813883093446110686315385661331328818843555712276103168,org.apache.dubbo,dubbo-rpc-injvm
100433627766186892221372630771322662657637687111424552206336,org.apache.dubbo,dubbo-serialization
200867255532373784442745261542645325315275374222849104412672,org.apache.dubbo,dubbo-spring-boot
401734511064747568885490523085290650630550748445698208825344,org.apache.dubbo,dubbo-spring-boot-compatible
803469022129495137770981046170581301261101496891396417650688,org.apache.dubbo,dubbo-spring-boot-starters
1606938044258990275541962092341162602522202993782792835301376,org.apache.dubbo,dubbo-spring-boot-observability-starters
3213876088517980551083924184682325205044405987565585670602752,org.apache.dubbo,dubbo-spring-boot-tracing-otel-zipkin-starter
6427752177035961102167848369364650410088811975131171341205504,org.apache.dubbo,dubbo-spring-boot-tracing-otel-otlp-starter
12855504354071922204335696738729300820177623950262342682411008,org.apache.dubbo,dubbo-spring-boot-tracing-brave-zipkin-starter
25711008708143844408671393477458601640355247900524685364822016,org.apache.dubbo,dubbo-spring-boot-observability-starter
51422017416287688817342786954917203280710495801049370729644032,org.apache.dubbo,dubbo-nacos-spring-boot-starter
102844034832575377634685573909834406561420991602098741459288064,org.apache.dubbo,dubbo-zookeeper-spring-boot-starter
205688069665150755269371147819668813122841983204197482918576128,org.apache.dubbo,dubbo-zookeeper-curator5-spring-boot-starter
411376139330301510538742295639337626245683966408394965837152256,org.apache.dubbo,dubbo-test
822752278660603021077484591278675252491367932816789931674304512,org.apache.dubbo,dubbo-test-common
1645504557321206042154969182557350504982735865633579863348609024,org.apache.dubbo,dubbo-test-modules
3291009114642412084309938365114701009965471731267159726697218048,org.apache.dubbo,dubbo-test-spring
6582018229284824168619876730229402019930943462534319453394436096,org.apache.dubbo,dubbo-test-spring3.2
13164036458569648337239753460458804039861886925068638906788872192,org.apache.dubbo,dubbo-test-spring4.1
26328072917139296674479506920917608079723773850137277813577744384,org.apache.dubbo,dubbo-test-spring4.2
52656145834278593348959013841835216159447547700274555627155488768,org.apache.dubbo,dubbo-xds
105312291668557186697918027683670432318895095400549111254310977536,com.alibaba.spring,spring-context-support
210624583337114373395836055367340864637790190801098222508621955072,org.yaml,snakeyaml
421249166674228746791672110734681729275580381602196445017243910144,org.apache.dubbo,dubbo-demo-api-provider
842498333348457493583344221469363458551160763204392890034487820288,org.apache.dubbo,dubbo-demo-api-consumer
1684996666696914987166688442938726917102321526408785780068975640576,org.springframework,spring-framework-bom
3369993333393829974333376885877453834204643052817571560137951281152,org.apache.curator,curator-framework
6739986666787659948666753771754907668409286105635143120275902562304,org.apache.curator,curator-recipes
13479973333575319897333507543509815336818572211270286240551805124608,org.dom4j,dom4j
26959946667150639794667015087019630673637144422540572481103610249216,org.junit.platform,junit-platform-launcher
53919893334301279589334030174039261347274288845081144962207220498432,org.apache.commons,commons-lang3
107839786668602559178668060348078522694548577690162289924414440996864,org.apache.commons,commons-exec
215679573337205118357336120696157045389097155380324579848828881993728,org.asynchttpclient,async-http-client
