user,repo,simTL,maxSC
Mionka522,Library_application_new.git,[],0.0
jering-a,citric-liquid-jering-a.git,[],0.4051617
thinhnt27,FBlog.git,[],0.0
shwetha11405,10Nov.git,[],0.35867378
Afzaal2003,ATM_INTERFACE.git,[],0.48557925
fumin65,modularized-boot.git,[],0.0
Chargeve,chatbot-api.git,[1332],0.94878536
AnshulGayakwad21,home-loan-application.git,[1095],1.0
anchtun1212,microservice-pattern-architecture.git,[308],1.0
wcygan,java-practice.git,[],0.0
RideSharingAppGroup-14,DriverManagementService.git,[],0.4614723
jeonseun,hyperskill-simple-tic-tac-toe-java.git,[],0.59926367
CruzGV94,Gestion-de-Delivery.git,[],0.0
AdhinShaji7,ToDoList.git,[],0.4479216
nakahina,thesis-system.git,[],0.4293849
PegliOne,Java-CLI-Minesweeper.git,[],0.34251913
pradeepassrr,my-projects.git,[],0.37481058
carlosm22700,Interpreter.git,[],0.6422069
Gardener-soul,BackEnd.git,[],0.0
HugoCaVe,bddApiTestYape.git,[],0.0
CharlesDay,reactive-java-practice.git,[],0.2707546
IBM,model-evaluation-workbench.git,[],0.0
SimpleGraduationProjects,CollegeStudentsInnovationAndEntrepreneurshipProjectManagementSystem.git,[],0.0
MCT-LIB,Iap.git,[],0.31282628
inamul24,Namta.git,[],0.51635444
kingseungwooya,health-care.git,[],0.0
JoelMathewV,Java-DSA.git,[],0.47862443
rubendario921,reservas_hotelclv.git,[],0.0
agarciapu,IDNP---Grupo04.git,[],0.7335425
tuomasOjalehto1,LoytoElainKodinRekisteri.git,[],0.23606504
maratbelitski,TMS_AnOnl_17_Lesson_1.git,[],0.39336604
yuokada,embulk-input-randomj.git,[],0.44232884
uthircloudnative,k8s-learning.git,[],0.0
Hyeopgeon-Lee,SpringJPAFetchJoin.git,[],0.0
paralkarkedar,farmeasy.git,[],0.0
TK2575,golf-stats.git,[],0.34290284
TheGeeko61,maven-quick-starter.git,[],0.5132157
15052039243,project.git,[],0.32291073
jh950925,alone_drink.git,[],0.0
beattynate,week5.git,[],0.51959527
JohnesSena,dio-java-basico.git,[],0.37066045
fahmirafie,coms309.git,[],0.3974653
at-elcapitan,AT-Limited_jEXT.git,[],0.69162804
TridentSDK,Trident.git,[],0.56996655
Igor-Volkov3360,mule-three-swerve.git,[],0.56451756
Szymoek02,LNU-odpowiedzi.git,[],0.37066045
Isaac-miles,JavaLessons.git,[],0.0
DebbieMatt,Test_Java.git,[],0.0
kenchuks44,CI-CD-with-Azure-DevOps.git,[],0.29316705
skinnynoonie,CharacterWar.git,[],0.0
alvine2200,java-spring-boot-tutorial.git,[],0.6616316
AposVaki,java-oo-programming.git,[],0.502555
RobervanSouza,Crud-Java.git,"[482, 745, 1924, 2184, 2285]",1.0
canalexpressojava,02-crud-java-rest-api.git,"[482, 745, 1924, 2184, 2285]",1.0
SandroS22,bank.git,[1095],1.0
alexquar,Sorting-Searching-Menu.git,[],0.0
Lasky1010,zenflow-app.git,[],0.7278302
codaholichq,learn-micronaut.git,[2640],1.0
cs-intro-reichman,hw03-Romgo0607.git,[],0.4051617
ashvaneetk,Kisan-Sarthi-SIH-by-TechManiacs.git,[],0.258425
Amine0008,leetCode.git,[],0.41943836
Miyagito,peliculas-app.git,[],0.0
epanikas,java-time-instant-and-hibernate.git,[],0.25139996
ElvisTavares,traveleasy_springboot.git,[],0.55254143
sadstill,MyPractices.git,[],0.45183846
EvgeniaKiseleva,Prog.git,[],0.0
rchomczyk,ntfy4j.git,[],0.3678757
702bagelbytes,2024-code.git,[],0.0
mpbb,ironbows.git,[],0.4537759
NewHorizon2023,java-taba.git,[],0.0
sebthom,jstuff.git,[],0.0
devandref,kafka-alura.git,[],0.6315714
cs-intro-reichman,hw03-arigess.git,[],0.4051617
gessnerfl,fake-smtp-server.git,[],0.39785767
finley243,adventure-engine.git,[],0.5749996
imalhaas,AlgaworksJpa-Ecommerce.git,[],0.65070033
Maurits825,snake.git,[],0.0
Dotlucas,MarketPlace.git,[],0.0
Gabriel-Almeida-Coite,primeiro-programa-java.git,"[482, 745, 1924, 2184, 2285]",1.0
KenneyKong,currency_converter_java.git,[],0.3535646
RaulRohjans,travelling-salesman-problem-java.git,[],0.38113078
TokiMagrosse,KING-My-First-Application.git,[],0.3891111
Mahmoudyounes011,CompilerReactJs.git,[],0.42730823
gabriel-M4chado,WebJava-MemoryGame.git,[],0.62167346
NedzaBartlomiej,securecapita.git,[],0.37904328
oldtonPear,progettoLibGDX.git,[],0.0
frc5431,RobotCode2024.git,[],0.0
s-grundner,Elektronik.git,[],0.0
tanishdwiv,DEMO1.git,[],0.7278302
srmadscience,voltdb-charglt.git,[],0.46240753
SASIHAR-OFFICIAL,Java_and_Selenium.git,[],0.61286134
nadoran78,weather-dress.git,[],0.0
Nepxion,Coroutine.git,[],0.79970026
companieshouse,acsp-api.git,[],0.28784183
SovanRoy-ops,LeetCode-practice.git,[],0.42507303
Elpugna,java-the-complete-reference.git,[],0.5561159
sridhara2001,JavaProject.git,[],0.0
RoessinghResearch,senseeact.git,[],0.5950889
sangminee,algorithm.git,[],0.0
lukoou3,FlinkNote1.18.git,[],0.0
gravitee-io,gravitee-access-management.git,[626],1.0
softeerbootcamp-3nd,softee5-highfiveteam-BE.git,[],0.0
IHTSDO,snomed-ecl-parser.git,[],0.0
IHTSDO,otf-common.git,[],0.4167186
IHTSDO,classification-service.git,[],0.3661969
dantalian-pv,photo-merger.git,[],0.419882
HoGyeongC,Baekjoon.git,[],0.51763797
gratisreise,godofjava1.git,[],0.23606504
org-kepe,beancp.git,[],0.3974517
adoptium,emt4j.git,[],0.0
wiremock,wiremock-docker.git,[],0.60742825
SAP,cloud-security-services-integration-library.git,[],0.42218584
autostyle,autostyle.git,[],0.7436005
Meeds-io,deeds-dapp.git,[],0.0
lblod,harvesting-validator.git,"[471, 75]",0.85252166
chaexrin,mystudy.git,[],0.7250689
OrangeBrother-99,stack-sync-server.git,[],0.0
TechMaster01,PTV-ANDROID.git,"[716, 209, 958, 1536, 1845, 2303]",1.0
MukhammadumarDeveloper,Printed-products-warehouse.git,[],0.3493938
seohyeonwook,korit_back_5_java_study.git,[],0.0
Develop-KIM,JavaStudy.git,[626],1.0
org-metaeffekt,metaeffekt-core.git,[],0.33590436
Divyashree356,LEETCODE-QUESTIONS.git,[],0.67752475
ferreiravpl,javastudy.git,[],0.37857276
daeun084,BaekJoon.git,[],0.51763797
bmcnpnr,ecommerce-review-service.git,[],0.3611312
jinput,jinput.git,[422],0.8184439
RaaphaelGomesS,chess-system.git,[],0.0
jackvincentnz,lab.git,[],0.35247198
yoonseon12,PS_Answers.git,[],0.0
GouravDutta-01,LeetCode-DSA.git,[],0.3857651
Amit-Tiwari-1995,Design-Patterns.git,[],0.0
MukeshBahuguna,Code.git,[],0.29396155
priti123-patil,DSA.git,[],0.0
thural,Quiet-Space-Backend.git,[],0.30833113
THORAFINN,StreamItService.git,[],0.37296084
RadinaAvramova,currency-converter.git,[],0.0
FrancoLujan,Cuadrado-magico.git,[],0.0
