user,repo,simTL,maxSC
SebastianEsatupinan,Proyecto-Base-de-Datos.git,[],0.0
dotCMS,core.git,[],0.0
rishabh02dev,DSA.git,[],0.39141244
changbill,ssafy_study.git,[],0.0
kimtjrgus,algorithm.git,[],0.0
smu-202115064,Advanced-Object-Oriented-Programming-HW07.git,"[2524, 2386, 2344]",0.8631563
HyungcheolSim,CodingTests.git,[],0.0
techeer-sv,graphy.git,[],0.0
navyaradhika9,BookMyShow.git,[],0.48644483
DarozZero,ConstruHotel.git,[],0.57655746
lochuung,Sorting-Visualizer.git,[],0.4291019
bobby-bouche,GUIBankApp.git,[],0.32196027
Try2b1st,Algorithm-Exercise.git,[],0.6357526
Montenegro27,Proyecto-Future-Care.git,[],0.0
devFancy,problem-solving.git,[],0.0
Thonggoat,desktop-tutorial.git,[],0.55210465
FRC6657,Fern2.0-2023.git,[],0.61286134
JoseToroB,TingesoL2.git,[],0.0
Developonz,SimplexMethod.git,"[482, 745, 1924, 2184, 2285]",1.0
lasyard,coding-java-maven.git,[],0.3418258
SalimanSherzad,Group6-BankApp.git,[],0.0
TorHugo,ms-ekan.git,[],0.6568678
Nightmarespirits,Control-Almacen-Bodega-Java.git,[],0.50571716
rieske,cloudflare-logs-forwarder.git,[],0.4006828
sendbird,sendbird-uikit-android.git,[],0.5282979
Oreki14,sky-take-out.git,[],0.0
lavihari,JavaParctialsRepo1.git,[],0.4235347
Azure,autorest.java.git,[],0.40211436
C-G-L-A-D,algorithms-java.git,[],0.0
zongyanglaobiao,springboot-template.git,[],0.0
marwan-codes,Calculator.git,[],0.47897065
jonghyunhub,algorithm.git,[],0.0
OpenHFT,Chronicle-Core.git,[],0.6861344
santhoshguggilla9,JavaPracticalsRepo.git,[],0.41461205
KendrekarAmraja,Javaprograms.git,[],0.4393504
JavaDocument,class2-study.git,[],0.0
warleyramires,TodoList.git,[],0.57074404
SeungAh-Yoo99,Algorithm.git,[308],1.0
jaymanale,FekuJson.git,[1684],0.8361747
Into-Programacion-P-Oct23-Feb24,clase05-1bim-burneojose2608.git,[],0.4051617
DavidCorella,Proyecto-Calidad-de-Software-Java-.git,[],0.0
vincentlai91,OasisBet.git,[],0.36496088
Teemo-Wanted,SNS_Feed_Service.git,[626],1.0
JeongMiiiin,algorithm.git,[],0.51763797
mekomsolutions,openmrs-module-initializer.git,[],0.37904456
Fei-Lu,GroupPlantGenetics.git,[],0.56881595
salimgizat13,elpin.git,[],0.3950755
madex95,MaketKurly.git,[],0.0
aniket100200,Make-Your-Trip.com.git,[],0.47897065
Hyeoonnm,fashionabler.git,[],0.7278302
LapshYP,java-shareit.git,[],0.41899794
hanqjun2660,rabbitmq-chat.git,[],0.6590927
huilam,hl-restapi-framework.git,[],0.47418132
Common-zhou,designPatterns.git,[],0.0
gokulbornforsuccess,Java_Learning_Repo.git,[],0.4150929
jigintern,git-tutorial-2023.git,[],0.0
PolaroidZone,ATM-project.git,[],0.5265598
Infi-null-0,WeatherAnalyzer.git,[],0.39620954
AKnazzz,java-kanban.git,[],0.7278302
Rishavkumar12345,DSA-Code.git,[],0.54883885
Kartikeya-Dixit,JAVA-FILES.git,[],0.32438233
Viswashinivasanthy2020,happid-demo.git,[285],1.0
suraj-yadav0,college-DSA.git,[],0.5188927
ZBL-Kiven,ZVideoPlayer.git,[],0.349016
YuHuang0525,poker.git,[],0.35572165
Serenity-Zhanggpeng,ChaoShan.git,[],0.0
wladimirrojas,SpringBootWebFlux-apirest.git,[2640],1.0
Amitpaul95,Encoder.git,[],0.43617716
ZBL-Kiven,custom-views.git,[],0.46976855
ZBL-Kiven,compress.git,"[40, 225, 284, 531]",1.0
Repy,jdk-update.git,[],0.0
baesunyoung34,Food_Project.git,[],0.0
ArvalCode,MergeSort.git,[],0.0
migueljesuszc28,libreria.git,[],0.0
kndiy,itext8Impl.git,[],0.7505736
LuisDCG,Proyecto3ParcialLDCG.git,[],0.66029465
KovuTheHusky,SimplyUHC.git,[],0.34549102
HwangInChul1,kikaboni.git,[],0.0
kesic2004,cd-yusheng-monitor-project.git,[],0.0
zximui53,test.git,[],0.6697471
carpediem3651,NewLec-Srping.git,[],0.0
YolandaYols,tiendaoline.git,[],0.71491486
KirillKotikov,gb-architecture.git,[],0.0
mvteus,java-essentials.git,[],0.5740852
allysoncsr,conta_bancaria.git,[],0.38732108
evan-cummings,PerWorldCommands.git,[],0.307418
evan-cummings,AHub.git,[],0.5607538
NatL7499,helloworld.git,[],0.0
AmanKahlon123,MobilePrograming.git,[876],0.8707178
TdP-prove-finali,VantaggiAlessio.git,[],0.0
Sibibu,test-napptilus.git,[],0.7208642
smarK99,jpatp1DSW.git,[],0.3675194
LeonLav77,Java-Ascii-Art.git,[],0.0
JoaoBorgesAJ,ConhecendoCollectionsJava.git,[],0.37066045
spambox912,CharterManager.git,[],0.6576794
nathan-slv017,DesafioControleFluxo.git,[626],1.0
mateog147,judo-pills-backend.git,[],0.6008485
AndreAG26,Tarea-Poo.git,[],0.66029465
RomaPav,ShowProgram.git,[],0.0
Arroyojava,cen4802.git,[],0.44271782
AbdulRehmanUIT,Path-Finding-Visualizer.git,[],0.3814441
