id,group,aritfact
4508,org.xwiki.commons,xwiki-commons-tool-archiver
4509,com.j256.simplemagic,simplemagic
4510,com.xuecheng,xuecheng-plus-base
4511,com.xuecheng,xuecheng-plus-content-model
4512,com.xuecheng,xuecheng-plus-content-service
4513,com.spring4all,swagger-spring-boot-starter
4514,com.xuecheng,xuecheng-plus-system-model
4515,com.xuecheng,xuecheng-plus-system-service
4516,io.github.openfeign,feign-httpclient
4517,cn.itcast.demo,feign-api
4518,com.vk.api,sdk
4519,io.qameta.allure,allure-attachments
4520,com.github.ipfs,java-ipfs-http-client
4521,com.mycompany.app,frontend-plugin-core
4522,"
				org.springframework.boot",spring-boot-starter-tomcat
4523,org.springframework.boot,"
				spring-boot-devtools"
4524,"
				org.springframework.boot",spring-boot-starter-test
4525,org.junit.jupiter,"
				junit-jupiter-engine"
4526,"
				org.springframework.boot",spring-boot-starter-data-jpa
4527,"
				org.springframework.boot",spring-boot-starter-jersey
4528,"
				javax.servlet",jstl
4529,"
				com.google.code.gson",gson
4530,"
				org.json",json
4531,"
				org.springframework.boot",spring-boot-starter-mail
4532,"
				org.apache.tomcat.embed",tomcat-embed-jasper
4533,com.itextpdf,"
				itextpdf"
4534,"
				org.bouncycastle",bcprov-jdk15on
4535,"
				org.bouncycastle",bcmail-jdk15on
4536,"
				com.sun.jersey",jersey-client
4537,"
				org.apache.commons",commons-io
4538,"
				mysql",mysql-connector-java
4539,"
				org.projectlombok",lombok
4540,"
				org.webjars",bootstrap
4541,"
				org.webjars",bootstrap-datepicker
4542,"
				org.webjars",jquery
4543,"
				org.hibernate",hibernate-ehcache
4544,com.itextpdf,kernel
4545,com.itextpdf,layout
4546,"
				org.apache.logging.log4j",log4j-api
4547,"
				org.apache.logging.log4j",log4j-core
4548,"
				org.apache.httpcomponents",httpclient
4549,"
				com.google.guava",guava
4550,"
				org.springframework.boot",spring-boot-starter-actuator
4551,"
				org.springframework.cloud","
				spring-cloud-starter-netflix-eureka-client"
4552,"
				com.sun.jersey.contribs",jersey-apache-client4
4553,"
				org.springframework.boot",spring-boot-starter-quartz
4554,org.springframework.cloud,spring-cloud-gateway-server
4555,io.vertx,vertx-stack-depchain
4556,io.vertx,vertx-junit5
4557,io.vertx,vertx-auth-jwt
4558,io.vertx,vertx-web-validation
4559,io.vertx,vertx-json-schema
4560,com.atlassian.plugin,atlassian-spring-scanner-external-jar
4561,${project.groupId},wildfly-glow-maven-resolver
4562,${project.groupId},wildfly-glow-core
4563,${project.groupId},wildfly-glow
4564,${project.groupId},wildfly-glow-test-galleon-pack
4565,${project.groupId},wildfly-glow-test-feature-pack-classes
4566,${project.groupId},wildfly-glow-arquillian-plugin-scanner
4567,biz.aQute.bnd,biz.aQute.bnd.transform
4568,org.wildfly.plugins,wildfly-jar-maven-plugin-core
4569,org.wildfly.galleon-plugins,wildfly-galleon-plugins
4570,io.smallrye,jandex
4571,org.jboss.galleon,galleon-api
