id,group,aritfact
0x1,com.google.android,android
0x2,junit,junit
0x4,org.robolectric,robolectric
0x8,org.mockito,mockito-core
0x10,org.mockito,mockito-all
0x20,org.parceler,parceler
0x40,org.parceler,parceler-api
0x80,com.google.auto.value,auto-value
0x100,uk.co.jemos.podam,podam
0x200,commons-lang,commons-lang
0x400,com.google.code.gson,gson
0x800,com.github.frankiesardo,auto-parcel-processor
0x1000,com.github.frankiesardo,auto-parcel
0x2000,org.androidtransfuse,transfuse-bootstrap
0x4000,com.google.auto.service,auto-service
0x8000,net.orfjackal.retrolambda,retrolambda
0x10000,net.orfjackal.retrolambda,retrolambda-api
0x20000,org.apache.maven,maven-plugin-api
0x40000,org.apache.maven.plugin-tools,maven-plugin-annotations
0x80000,org.codehaus.plexus,plexus-utils
0x100000,org.twdata.maven,mojo-executor
0x200000,com.google.guava,guava
0x400000,org.ow2.asm,asm
0x800000,org.ow2.asm,asm-tree
0x1000000,com.esotericsoftware,minlog
0x2000000,org.apache.bcel,bcel
0x4000000,net.orfjackal.retrolambda,java-lang-dummies
0x8000000,org.codehaus.plexus,plexus-compiler-eclipse
0x10000000,org.hamcrest,hamcrest-library
0x20000000,org.projectlombok,lombok
0x40000000,commons-beanutils,commons-beanutils
0x80000000,commons-io,commons-io
0x100000000,org.apache.commons,commons-exec
0x200000000,org.apache.commons,commons-lang3
0x400000000,commons-codec,commons-codec
0x800000000,org.quartz-scheduler,quartz
0x1000000000,org.codehaus.janino,janino
0x2000000000,javax,javaee-web-api
0x4000000000,net.sourceforge.jexcelapi,jxl
0x8000000000,joda-time,joda-time
0x10000000000,org.apache.curator,curator-framework
0x20000000000,org.apache.curator,curator-client
0x40000000000,org.apache.curator,curator-recipes
0x80000000000,org.apache.zookeeper,zookeeper
0x100000000000,org.springframework,spring-context
0x200000000000,org.springframework,spring-core
0x400000000000,org.springframework,spring-context-support
0x800000000000,org.springframework,spring-web
0x1000000000000,org.springframework,spring-webmvc
0x2000000000000,org.springframework,spring-jdbc
0x4000000000000,org.springframework,spring-tx
0x8000000000000,org.springframework.data,spring-data-commons
0x10000000000000,org.slf4j,slf4j-api
0x20000000000000,org.slf4j,jcl-over-slf4j
0x40000000000000,org.slf4j,log4j-over-slf4j
0x80000000000000,ch.qos.logback,logback-classic
0x100000000000000,commons-fileupload,commons-fileupload
0x200000000000000,org.apache.httpcomponents,httpclient
0x400000000000000,org.apache.httpcomponents,httpcore
0x800000000000000,org.codehaus.jackson,jackson-mapper-asl
0x1000000000000000,org.codehaus.jackson,jackson-core-asl
0x2000000000000000,com.fasterxml.jackson.core,jackson-core
0x4000000000000000,com.fasterxml.jackson.core,jackson-databind
0x8000000000000000,com.fasterxml.jackson.core,jackson-annotations
0x10000000000000000,com.fasterxml.jackson.dataformat,jackson-dataformat-yaml
0x20000000000000000,com.alibaba,fastjson
0x40000000000000000,org.mybatis,mybatis-spring
0x80000000000000000,org.mybatis,mybatis
0x100000000000000000,org.mybatis.generator,mybatis-generator-core
0x200000000000000000,mysql,mysql-connector-java
0x400000000000000000,com.alibaba,druid
0x800000000000000000,io.springfox,springfox-swagger2
0x1000000000000000000,io.springfox,springfox-swagger-ui
0x2000000000000000000,org.assertj,assertj-core
0x4000000000000000000,org.unitils,unitils-core
0x8000000000000000000,org.apache.curator,curator-test
0x10000000000000000000,org.springframework,spring-test
0x20000000000000000000,org.springframework.boot,spring-boot-starter-test
0x40000000000000000000,org.hamcrest,hamcrest-core
0x80000000000000000000,com.vip.saturn,saturn-spring
0x100000000000000000000,org.springframework.boot,spring-boot-starter
0x200000000000000000000,com.vip.saturn,saturn-job-api
0x400000000000000000000,org.springframework.boot,spring-boot-dependencies
0x800000000000000000000,com.vip.saturn,saturn-console-api
0x1000000000000000000000,com.vip.saturn,saturn-console-web
0x2000000000000000000000,javax.servlet,javax.servlet-api
0x4000000000000000000000,com.h2database,h2
0x8000000000000000000000,org.springframework.cloud,spring-cloud-starter
0x10000000000000000000000,org.springframework.boot,spring-boot-starter-tomcat
0x20000000000000000000000,org.springframework,springloaded
0x40000000000000000000000,com.vip.saturn,saturn-core
0x80000000000000000000000,com.vip.saturn,saturn-console
0x100000000000000000000000,com.vip.saturn,saturn-job-sharding
0x200000000000000000000000,com.vip.saturn,saturn-executor
