user,repo,type,orcount
surojitsantra,leetcode-problems.git,unknown,0x0
saiprakash1916,EazyAccountServices.git,pom.xml,0x2000000002003000070200
ReactiveSpring89,webflux-demo.git,pom.xml,0x20000000060080
oacero,programacion-avanzada.git,pom.xml,0xe0000000000000000000000000000000000000000000000000000000000000000000000000000000001800060200
fineman999,TIL.git,build.gradle,0x0
vanessavargas,java-fruits-api.git,unknown,0x0
RobertDragneel,380Project.git,unknown,0x0
pandalee99,Retrier.git,pom.xml,0x10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002ff00200000030200800000000000000000000000000000000000000004010000000000028000000000000002020200
snjava,FSD-140823.git,pom.xml,0x800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000030000000000000000000000000000000000000000000000000000000000000000000000000000000000001802040200
GitHub-Campus-Club-PSGCT-CSE-G1,YouDo.git,unknown,0x0
Sword-Is-Cat,LeetCode.git,unknown,0x0
Tomo-akm,JavaPokerGame.git,unknown,0x0
xuejmnet,easy-query.git,pom.xml,0x30100000000000000000000000002e403ff03000100000100000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000003fffffffc0000400000000000000000000000010000000000000000000000000200030000040000004000800202000002070200
asalamanca1,Gomoku.git,unknown,0x0
Mira047,FurnitureEngine.git,pom.xml,0x8000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001c000000000000000000000000000000000000000000000000000000000000000000008000000000000000000000000000000000
mchukurs,JavaPreperation_HashMap_Adventure_Game.git,unknown,0x0
buddipammu2616,buddipammu2616dec4.git,pom.xml,0x2000000
Delta109,ZulassungsVorraussetzung.git,pom.xml,0x1000000000002000050200
attrayadas,springboot-pagination-sorting.git,pom.xml,0x1800060200
mtl9-engineer,java-spring-sealed-classes.git,unknown,0x0
kTH-Studio,Music_app.git,build.gradle,0x0
CamilaMCoelho,20232_queues_ALGED.git,pom.xml,0x0
kiranrahinj,DSA.git,unknown,0x0
FuchigamiKoichi,progex_repor3.git,unknown,0x0
Sashka107,CSIA_Galeta-.git,pom.xml,0xc0000000000000000000000000000002c
ahmetaggoz,Java_Classes_Employee.git,unknown,0x0
patrikmasiar,advent-of-code.git,unknown,0x0
aanupdarekar,Java.git,pom.xml,0x78000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000
Selooooooo,Class1_OOP.git,unknown,0x0
Joanna-Szczesna,Algorithms_and_Data_Structures.git,build.gradle,0x0
kramit007,Selenium_4.0.git,pom.xml,0x101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000000000000
kartee161990,EMICalculator-Springboot.git,pom.xml,0x80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002001000060280
t-sarthak,Algorithmic-problems.git,unknown,0x0
CaptainShaqX,Java-Bootcamp.git,unknown,0x0
Andebet3210,project.git,unknown,0x0
tonivade,claudb-maven-plugin.git,pom.xml,0x3fc00000000000000000000000000000000000000000000000000000000000000000000000400000000000000000000000000000000
WezleyRenan,Padroes_De_Projeto.git,unknown,0x0
iker0411,programacion2324.git,unknown,0x0
Malekkk25,springFlutter.git,pom.xml,0x100000000000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000070200
timerdar,FamilyFarm.git,pom.xml,0x180000000000000000000000000000000000000000000000000000000000000000000000000000000000004000000000000000020000
Steinrabe7,Autotesting_5.1.git,build.gradle,0x0
mbland,tomcat-servlet-testing-example.git,unknown,0x0
otienogeoffrey812,leetcode-solutions.git,pom.xml,0x0
coreybrowndev,TCPFileService.git,unknown,0x0
Deonnaa,JPACRUDProject.git,build.gradle,0x0
worscik,TechnicalTools.git,pom.xml,0x80000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000600000000000000000000002000000000000000000000000000000000000000000000000000000000180000000000000000000040200
NouraAhmed09,CCSW-325.git,unknown,0x0
Sergyk87,Test.git,pom.xml,0xe0020000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003800000000000000000000000000000000000000000000000000000000000000000000000000800000002000000000000000000000000
wasim-essbai,unibg-tutorato-ing-sw-2324.git,pom.xml,0x1038000000000000000000000000000000000000000000000000000000000000000010000020000020000000000000000000000000000000000000000000000000000000000000000000000000000000003fc000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000400000000
SamuelDias7,ModaMediaMediana.git,unknown,0x0
aigerimbazarbekova218,Peaksoft.git,unknown,0x0
fanjic,vturbo.git,pom.xml,0x100000000000000000000001c00000000000000000000000000000000000000000000010000000000000000000000000010000000000000000000200000000000060200
HugoAlejandro2002,admin-module.git,pom.xml,0x2001800040200
Epso1,Travels.git,unknown,0x0
GacovAndre,Project-18.git,unknown,0x0
M7mdK,TBS.git,unknown,0x0
RTX4O9O,MUCalculator.git,build.gradle,0x0
DashielL23,MP2Project.git,unknown,0x0
raven3199,CSYE6220-Anime-Rating-Website-Back-End.git,pom.xml,0x1800040200
Stary54264,Group-Project.git,unknown,0x0
stepasejin,java-sandbox.git,unknown,0x0
