id,group,aritfact
11392,org.opendaylight.mdsal.binding.model.ietf,rfc8294-ietf-routing-types
11393,org.opendaylight.mdsal.model,ietf-topology
11394,${project.groupId},concepts
11395,${project.groupId},bgp-openconfig-api
11396,org.opendaylight.mdsal,mdsal-binding-api
11397,org.opendaylight.mdsal,mdsal-common-api
11398,org.opendaylight.mdsal,yang-binding
11399,org.opendaylight.mdsal.binding.model.ietf,rfc6991-ietf-yang-types
11400,org.opendaylight.mdsal,mdsal-binding-test-utils
11401,org.opendaylight.mdsal,mdsal-binding-dom-adapter
11402,${project.groupId},bgp-concepts
11403,${project.groupId},bgp-parser-api
11404,${project.groupId},bgp-linkstate
11405,${project.groupId},bgp-parser-spi
11406,${project.groupId},bgp-parser-impl
11407,${project.groupId},bgp-rib-api
11408,${project.groupId},bgp-rib-spi
11409,${project.groupId},bgp-rib-impl
11410,${project.groupId},testtool-util
11411,${project.groupId},bgp-inet
11412,${project.groupId},bgp-evpn
11413,${project.groupId},bgp-flowspec
11414,${project.groupId},bgp-labeled-unicast
11415,${project.groupId},bgp-l3vpn
11416,${project.groupId},bgp-route-target
11417,org.opendaylight.mdsal.model,yang-ext
11418,org.opendaylight.bgpcep,bgpcep-parent
11419,${project.groupId},bgp-openconfig-spi
11420,org.opendaylight.mdsal,mdsal-dom-api
11421,org.opendaylight.mdsal,mdsal-dom-spi
11422,org.opendaylight.mdsal,mdsal-dom-inmemory-datastore
11423,org.opendaylight.infrautils,infrautils-testutils
11424,org.opendaylight.bgpcep,testtool-util
11425,${project.groupId},rsvp-api
11426,${project.groupId},topology-api
11427,${project.groupId},topology-segment-routing
11428,${project.groupId},graph-api
11429,org.opendaylight.mdsal,mdsal-singleton-common-api
11430,org.opendaylight.bgpcep,bgp-openconfig-api
11431,org.opendaylight.mdsal,mdsal-binding-dom-codec-api
11432,org.opendaylight.mdsal,mdsal-binding-runtime-spi
11433,${project.groupId},bgp-bmp-api
11434,${project.groupId},bgp-mvpn
11435,org.opendaylight.mdsal,mdsal-rfc8294-netty
11436,${project.groupId},rsvp-spi
11437,${project.groupId},rsvp-impl
11438,${project.groupId},bgp-openconfig-rp-spi
11439,${project.groupId},config-loader-impl
11440,${project.groupId},routing-policy-config-loader
11441,${project.groupId},bgp-openconfig-rp-impl
11442,${project.groupId},bgp-util
11443,${project.groupId},bgp-path-selection-mode
11444,${project.groupId},bgp-rib-mock
11445,${project.groupId},bgp-config-example
11446,org.opendaylight.mdsal,mdsal-dom-broker
11447,${project.groupId},bgp-openconfig-rp-statement
11448,org.opendaylight.mdsal.binding.model.ietf,rfc8343
11449,org.opendaylight.bgpcep,bgp-inet
11450,org.opendaylight.bgpcep,bgpcep-artifacts
11451,${project.groupId},odl-bgpcep-extras-dependencies
11452,${project.groupId},odl-bgpcep-bgp-parser
11453,${project.groupId},odl-bgpcep-bgp-openconfig
11454,${project.groupId},odl-bgpcep-bmp-api
11455,${project.groupId},odl-bgpcep-bgp-openconfig-rp-spi
11456,org.opendaylight.controller,odl-mdsal-broker
11457,${project.groupId},pcep-ietf-p2mp-te-lsp
11458,${project.groupId},odl-bgpcep-pcep-api
11459,${project.groupId},odl-bgpcep-bgp-rib-impl
11460,${project.groupId},odl-bgpcep-config-loader-impl
11461,${project.groupId},odl-bgpcep-algo
11462,${project.groupId},odl-bgpcep-algo-api
11463,${project.groupId},odl-bgpcep-bgp
11464,${project.groupId},odl-bgpcep-bgp-config-example
11465,${project.groupId},odl-bgpcep-bgp-dependencies
11466,${project.groupId},odl-bgpcep-bgp-extensions-api
11467,${project.groupId},odl-bgpcep-bgp-inet
11468,${project.groupId},odl-bgpcep-bgp-parser-api
11469,${project.groupId},odl-bgpcep-bgp-rib-api
11470,${project.groupId},odl-bgpcep-bgp-linkstate
11471,${project.groupId},odl-bgpcep-bgp-flowspec
11472,${project.groupId},odl-bgpcep-bgp-labeled-unicast
11473,${project.groupId},odl-bgpcep-bgp-l3vpn
11474,${project.groupId},odl-bgpcep-bgp-mvpn
11475,${project.groupId},odl-bgpcep-bgp-route-target
11476,${project.groupId},odl-bgpcep-bgp-evpn
11477,${project.groupId},odl-bgpcep-bgp-path-selection-mode
11478,${project.groupId},odl-bgpcep-bgp-topology
11479,${project.groupId},odl-bgpcep-bgp-cli
11480,${project.groupId},odl-bgpcep-bgp-openconfig-state
11481,${project.groupId},odl-bgpcep-bgp-openconfig-rp-impl
11482,${project.groupId},odl-bgpcep-bgp-openconfig-rp-statement
11483,${project.groupId},odl-bgpcep-bmp
11484,${project.groupId},odl-bgpcep-bmp-config-example
11485,${project.groupId},odl-bgpcep-bmp-config-loader
11486,${project.groupId},odl-bgpcep-concepts
11487,${project.groupId},odl-bgpcep-config-loader-spi
11488,${project.groupId},odl-bgpcep-topology-config-loader
11489,${project.groupId},odl-bgpcep-protocols-config-loader
11490,${project.groupId},odl-bgpcep-routing-policy-config-loader
11491,${project.groupId},odl-bgpcep-graph
11492,${project.groupId},odl-bgpcep-graph-api
11493,${project.groupId},odl-bgpcep-pcep
11494,${project.groupId},odl-bgpcep-pcep-impl
11495,${project.groupId},odl-bgpcep-programming-api
11496,${project.groupId},odl-bgpcep-programming-impl
11497,${project.groupId},odl-bgpcep-pcep-server
11498,${project.groupId},odl-bgpcep-pcep-topology
11499,${project.groupId},odl-bgpcep-pcep-stateful
11500,${project.groupId},odl-bgpcep-pcep-server-provider
11501,${project.groupId},odl-bgpcep-pcep-p2mp-te-lsp
11502,${project.groupId},odl-bgpcep-pcep-topology-provider
11503,${project.groupId},odl-bgpcep-pcep-tunnel-provider
11504,${project.groupId},odl-bgpcep-pcep-segment-routing
11505,${project.groupId},odl-bgpcep-pcep-auto-bandwidth
11506,${project.groupId},odl-bgpcep-pcep-config-example
11507,${project.groupId},odl-bgpcep-pcep-cli
11508,${project.groupId},odl-bgpcep-pcep-base-parser
11509,${project.groupId},odl-bgpcep-rsvp
11510,${project.groupId},odl-bgpcep-rsvp-api
11511,${project.groupId},odl-bgpcep-topology-api
11512,${project.groupId},odl-bgpcep-topology-tunnel-api
11513,${project.groupId},odl-bgpcep-topology-segment-routing
11514,org.opendaylight.mdsal.model,odl-mdsal-model-draft-clemm-netmod-yang-network-topo-01-minimal
11515,org.opendaylight.bgpcep,data-change-counter
11516,org.opendaylight.bgpcep,odl-bgpcep-extras-dependencies
11517,${project.groupId},programming-api
11518,${project.groupId},programming-spi
11519,${project.groupId},programming-topology-api
11520,${project.groupId},programming-tunnel-api
11521,org.opendaylight.mdsal,odl-mdsal-singleton-common
11522,${project.groupId},pcep-api
11523,${project.groupId},pcep-spi
11524,org.opendaylight.mdsal.model,odl-mdsal-model-rfc8343
11525,org.opendaylight.mdsal,odl-mdsal-dom-api
11526,org.opendaylight.mdsal,odl-mdsal-binding-runtime
11527,${project.groupId},bgp-bmp-parser-impl
11528,${project.groupId},bgp-bmp-impl
11529,org.opendaylight.mdsal,odl-mdsal-rfc8294-netty
11530,${project.groupId},pcep-cli
11531,${project.groupId},pcep-ietf-stateful
11532,${project.groupId},pcep-tunnel-api
11533,${project.groupId},pcep-topology-api
11534,${project.groupId},pcep-topology-spi
11535,${project.groupId},pcep-topology-provider
11536,${project.groupId},programming-impl
11537,org.opendaylight.controller,odl-controller-exp-netty-config
11538,${project.groupId},bgp-openconfig-state
11539,${project.groupId},bgp-bmp-spi
11540,${project.groupId},topology-config-loader
11541,${project.groupId},bgp-topology-provider
11542,${project.groupId},topology-tunnel-api
11543,${project.groupId},pcep-segment-routing
11544,org.opendaylight.mdsal.model,odl-mdsal-model-rfc6991
11545,org.opendaylight.mdsal.model,odl-mdsal-model-rfc8294
11546,${project.groupId},algo-impl
11547,${project.groupId},bgp-benchmark-app
11548,org.opendaylight.controller,odl-controller-blueprint
11549,${project.groupId},config-loader-spi
11550,${project.groupId},bgp-cli
11551,${project.groupId},protocols-config-loader
11552,${project.groupId},odl-bgpcep-bgp-benchmark
11553,${project.groupId},odl-bgpcep-data-change-counter
11554,${project.groupId},pcep-impl
11555,${project.groupId},bgp-peer-acceptor
11556,${project.groupId},algo-api
11557,${project.groupId},pcep-auto-bandwidth-extension
11558,${project.groupId},pcep-config-example
11559,${project.groupId},graph-impl
11560,${project.groupId},pcep-base-parser
11561,${project.groupId},bmp-monitors-config-loader
11562,${project.groupId},pcep-tunnel-provider
11563,org.opendaylight.odlparent,odl-apache-commons-lang3
11564,org.opendaylight.bgpcep,odl-bgpcep-concepts
11565,${project.groupId},pcep-server-api
11566,${project.groupId},bgp-bmp-config-example
11567,${project.groupId},pcep-server-provider
11568,${project.groupId},bgp-parser-mock
11569,${project.groupId},bgp-testtool
11570,${project.groupId},bgp-bmp-mock
11571,${project.groupId},pcep-pcc-mock
11572,${project.groupId},pcep-testtool
11573,org.opendaylight.bgpcep,features-bgpcep
11574,org.opendaylight.bgpcep,features-bgpcep-testing
11575,org.opendaylight.bgpcep,odl-bgpcep-algo
11576,org.opendaylight.bgpcep,odl-bgpcep-algo-api
11577,org.opendaylight.bgpcep,odl-bgpcep-bgp-labeled-unicast
11578,org.opendaylight.bgpcep,odl-bgpcep-bmp
11579,org.opendaylight.bgpcep,odl-bgpcep-bmp-api
11580,org.opendaylight.bgpcep,odl-bgpcep-bmp-config-example
11581,org.opendaylight.bgpcep,odl-bgpcep-graph
11582,org.opendaylight.bgpcep,odl-bgpcep-graph-api
11583,${project.groupId},odl-bgpcep-pcep-dependencies
11584,org.opendaylight.bgpcep,odl-bgpcep-programming-api
11585,org.opendaylight.bgpcep,odl-bgpcep-programming-impl
11586,org.opendaylight.bgpcep,odl-bgpcep-rsvp-api
11587,org.opendaylight.bgpcep,odl-bgpcep-rsvp
11588,org.opendaylight.bgpcep,odl-bgpcep-rsvp-dependencies
11589,org.opendaylight.bgpcep,odl-bgpcep-topology-api
11590,${project.groupId},data-change-counter
11591,org.opendaylight.bgpcep,odl-bgpcep-data-change-counter
11592,org.opendaylight.controller,controller-artifacts
11593,org.opendaylight.mdsal,mdsal-artifacts
11594,org.opendaylight.netconf,netconf-artifacts
11595,org.opendaylight.infrautils,infrautils-artifacts
11596,org.opendaylight.mdsal,mdsal-binding-runtime-api
11597,org.opendaylight.mdsal,mdsal-binding-generator
11598,org.opendaylight.netconf,features-netconf
11599,org.opendaylight.mdsal,features-mdsal
11600,org.opendaylight.controller,features-controller-testing
11601,org.opendaylight.infrautils,features-infrautils
11602,com.google.classpath-explorer,classpath-explorer
11603,org.jukito,jukito
11604,org.jsmart,micro-simulator
11605,org.jsmart,zerocode-tdd
11606,org.gwtproject,gwt
11607,com.makesystem,GWTMDC
11608,org.gwtproject,gwt-servlet
11609,org.rdfhdt,hdt-java-core
11610,io.micrometer,context-propagation
11611,io.projectreactor.tools,blockhound-junit-platform
11612,org.commonmark,commonmark-ext-yaml-front-matter
11613,org.springframework.boot,spring-boot-starter-mobile
11614,com.tmobile.cloud,api-commons
11615,io.springfox,springfox-bean-validators
11616,com.amazonaws,aws-java-sdk-events
11617,org.springframework.boot,spring-boot-starter-cloud-connectors
11618,com.tmobile.cloud,batch-commons
11619,com.amazonaws,aws-java-sdk-efs
11620,com.amazonaws,aws-java-sdk-ses
11621,com.amazonaws,aws-java-sdk-guardduty
11622,com.amazonaws,aws-java-sdk-elasticloadbalancing
11623,com.amazonaws,aws-java-sdk-elasticloadbalancingv2
11624,com.amazonaws,aws-java-sdk-rds
11625,com.amazonaws,aws-java-sdk-config
11626,com.amazonaws,aws-java-sdk-cloudtrail
11627,com.amazonaws,aws-java-sdk-elasticsearch
11628,com.netflix.feign,feign-core
11629,com.netflix.feign,feign-gson
11630,com.netflix.feign,feign-slf4j
11631,es.SistemasRest,A2Rest
11632,org.kie.kogito,kogito-spring-boot-bom
11633,org.kie.kogito,kogito-processes-spring-boot-starter
11634,io.cloudevents,cloudevents-json-jackson
11635,org.apache.jmeter,jorphan
11636,org.apache.jmeter,ApacheJMeter_core
11637,nl.big-o,liqp
11638,ua.co.k,strftime4j
11639,com.amazonaws,aws-java-sdk-simpledb
11640,io.cucumber,cucumber-plugin
11641,io.cucumber,cucumber-html
11642,com.googlecode.ez-vcard,ez-vcard
11643,com.github.caldav4j,caldav4j
11644,es.ulpgc.bigdata.inverse_index,Datamart
11645,com.slack.kaldb,kaldb
11646,org.apache.logging.log4j,log4j-layout-template-json
11647,org.apache.logging.log4j,log4j-transform-maven-shade-plugin-extensions
11648,com.linecorp.armeria,armeria
11649,com.linecorp.armeria,armeria-brave
11650,com.linecorp.armeria,armeria-grpc
11651,org.opensearch,opensearch
11652,org.opensearch.plugin,lang-painless
11653,org.opensearch.plugin,opensearch-scripting-painless-spi
11654,software.amazon.awssdk,s3-transfer-manager
11655,com.adobe.testing,s3mock-junit5
11656,com.github.charithe,kafka-junit
11657,com.spotify,completable-futures
11658,io.zipkin.brave,brave-instrumentation-grpc
11659,io.zipkin.brave,brave-context-log4j2
11660,io.nosqlbench,virtdata-lib-basics
11661,io.nosqlbench,virtdata-realdata
11662,io.nosqlbench,virtdata-lib-realer
11663,io.nosqlbench,virtdata-api
11664,io.nosqlbench,virtdata-lib-random
11665,io.nosqlbench,virtdata-lib-curves4
11666,io.nosqlbench,virtdata-lib-hdf5
11667,io.nosqlbench,docsys
11668,io.jhdf,jhdf
11669,org.snakeyaml,snakeyaml-engine
11670,org.mpierce.metrics.reservoir,hdrhistogram-metrics-reservoir
11671,org.apache.commons,commons-math4-core
11672,org.apache.commons,commons-math4-legacy
11673,org.apache.commons,commons-math4-legacy-core
11674,org.apache.commons,commons-math4-legacy-exception
11675,org.apache.commons,commons-statistics-distribution
11676,com.mitchtalmadge,ascii-data
11677,com.github.docker-java,docker-java-transport-okhttp
11678,com.github.oshi,oshi-core-java11
11679,com.elega9t,number-to-words
11680,org.greenrobot,essentials
11681,org.graalvm.tools,profiler
11682,org.graalvm.tools,chromeinspector
11683,io.nosqlbench,adapters-api
11684,io.nosqlbench,nbr
11685,io.nosqlbench,nb-annotations
11686,io.nosqlbench,nb-spectest
11687,io.nosqlbench,nb-api
11688,io.nosqlbench,virtdata-userlibs
11689,com.databricks,sjsonnet_2.13
11690,io.nosqlbench,virtdata-lang
11691,io.nosqlbench,engine-cli
11692,io.nosqlbench,engine-core
11693,io.nosqlbench,engine-extensions
11694,io.nosqlbench,adapter-diag
11695,io.nosqlbench,engine-clients
11696,io.nosqlbench,adapter-tcp
11697,io.nosqlbench,adapter-mongodb
11698,io.nosqlbench,adapter-stdout
11699,io.nosqlbench,adapter-dynamodb
11700,io.nosqlbench,adapter-cqld4
11701,io.nosqlbench,adapter-http
11702,io.nosqlbench,adapter-pulsar
11703,io.nosqlbench,adapter-s4j
11704,io.nosqlbench,adapter-kafka
11705,io.nosqlbench,adapter-amqp
11706,io.nosqlbench,adapter-jdbc
11707,io.nosqlbench,adapter-pinecone
11708,com.datastax.oss,pulsar-jms-all
11709,org.conscrypt,conscrypt-openjdk
11710,io.nosqlbench,nb5
11711,org.openapitools,openapi-generator
11712,com.vladsch.flexmark,flexmark-ext-yaml-front-matter
11713,com.vladsch.flexmark,flexmark-html2md-converter
11714,org.apache.pulsar,pulsar-client-admin
11715,io.pinecone,pinecone-client
11716,io.qameta.allure,allure-cucumber5-jvm
11717,org.bytedeco,ffmpeg
11718,com.azure,azure-security-keyvault-secrets
11719,eu.planlos,java-utilities
11720,eu.planlos,java-pretix-connector
11721,eu.planlos,java-signal-connector
11722,${flight.path},flight
11723,com.griefdefender,api
11724,me.TechsCode,UltraEconomyAPI
11725,com.github.nhojpatrick.qa,nhojpatrick-sortpom-sortorderfile
11726,com.github.nhojpatrick.qa,nhojpatrick-qa-ruleset-checkstyle
