user,repo,type,orcount
xetorthio,johm.git,pom.xml,0x10000000000000000000000000000000000002
Comcast,cmb.git,pom.xml,0x7fffe000000000000000001000000000008000000000000000000040000000200080000002000000000000010000000000000000000001e10000600200002
Telerik-Verified-Plugins,NativePageTransitions.git,unknown,0x0
trishullab,bayou.git,pom.xml,0x1f80098000000000000000000000000000008000008000000000000000040000000001800000000000000000000000000000000000000000200000280200412
tinkerpop,pipes.git,pom.xml,0x2000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002
hehonghui,android_my_pull_refresh_view.git,unknown,0x0
zhangyd-c,springboot-shiro.git,pom.xml,0x7c00000004c000000000000000000000000000000000000000000000000000000000000000000001000000005018000000000100000120220000000020000000
lovejjfg,Circle.git,build.gradle,0x0
Kenber,DoubleStickyHeadersList.git,build.gradle,0x0
vlonjatg,AppTour.git,build.gradle,0x0
AlanCheen,PeriscopeLayout.git,build.gradle,0x0
xuyisheng,VectorDemo.git,build.gradle,0x0
pkainulainen,gradle-examples.git,build.gradle,0x0
DoodleScheduling,android-material-chips.git,build.gradle,0x0
callicoder,spring-boot-postgresql-jpa-hibernate-rest-api-demo.git,pom.xml,0x80000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000400100000020000000000000000000
xingstarx,InkeVerticalViewPagerLive.git,build.gradle,0x0
fabiomaffioletti,jsondoc.git,pom.xml,0x1f00400000010000000000000000000080000000000000000000000000000000000002080000002000000000000000000000000100000010004011000000020002
xiewenfeng,statusbartextcolorchange.git,build.gradle,0x0
ymcao,YaPlayer.git,build.gradle,0x0
codecentric,spring-boot-starter-batch-web.git,pom.xml,0xfe000000000010000000000000000000001000000000000000000000010000000000000000000000000000000001000000000008500000520000000000280000000
MoshDev,BackgroundViewPager.git,unknown,0x0
thinkaurelius,faunus.git,pom.xml,0xffff00002000000000000000000000000000000000000000000000000000000000000000000080000002000000000000000000000000000000000000010000000000002
ihaolin,alipay.git,pom.xml,0x7000000000000000000000000000000000002000000000000000000000000000000000000000002000000000000000000000000000000000000000000191000000000002
ykameshrao,spring-hibernate-springdata-springmvc-maven-project-framework.git,pom.xml,0x3fffffffff80000000000040000600000000000000010420800000000000000000000000000000080002008000900001000040000000000000000000010000002019b7b0a8a0000002
VictorAlbertos,RxSocialConnect-Android.git,build.gradle,0x0
bherbst,FragmentTransitionSample.git,build.gradle,0x0
twotoasters,clusterkraf.git,build.gradle,0x0
TechBooster,AndroidOpenTextbook.git,build.gradle,0x0
erchenger,SizeAdjustingTextView.git,build.gradle,0x0
kannan-anbu,glazy-viewpager.git,build.gradle,0x0
erickok,RxCupboard.git,build.gradle,0x0
RobotAmiee,Android-NiceTab.git,build.gradle,0x0
shamanland,fonticon.git,build.gradle,0x0
jacobtabak,Fragment-Switcher.git,build.gradle,0x0
xmuSistone,AlipayPullRefresh.git,build.gradle,0x0
sumimakito,AdvancedTextSwitcher.git,build.gradle,0x0
zetavg,react-native-system-notification.git,build.gradle,0x0
Cleveroad,Android-Marshmallow-Boot-Animation.git,build.gradle,0x0
CiTuX,datetimepicker.git,build.gradle,0x0
SpongeBobSun,mCalendarView.git,build.gradle,0x0
bloderxd,MagicButton.git,build.gradle,0x0
ZhaoKaiQiang,JianDanRxJava.git,build.gradle,0x0
prolificinteractive,Chandelier.git,build.gradle,0x0
TangKe,SlideMenu.git,build.gradle,0x0
fcannizzaro,jsoup-annotations.git,build.gradle,0x0
MoriTanosuke,glacieruploader.git,pom.xml,0x7fc0000000000000000000000080000000000000000000000000000080000000000000000040000080000000000000002000000000000000000000000000000000000620000200000002
PandaQAQ,PandaEye.git,build.gradle,0x0
SimonVT,android-datepicker.git,pom.xml,0x38000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
miomin,SHSwipeRefreshLayout.git,build.gradle,0x0
zhiyuncloud,aixuexiao.git,unknown,0x0
AlphaBoom,ClassifyView.git,build.gradle,0x0
ImmortalZ,jellyball.git,build.gradle,0x0
uPhyca,GAlette.git,build.gradle,0x0
alivebao,FreeSizeDraggableLayout.git,build.gradle,0x0
s4,core.git,pom.xml,0x1ffc0000000000000000000000000000000000000000000000000000000000000000000000000000000040000004080000000000000000000000000000000000000000001800000003400402
Stay,PullRecycler.git,build.gradle,0x0
adblockplus,adblockplusandroid.git,unknown,0x0
lypeer,Matchmaker.git,unknown,0x0
suzeyu1992,SImageView.git,build.gradle,0x0
tarek360,Material-Animation-Samples.git,build.gradle,0x0
blazsolar,HorizontalPicker.git,build.gradle,0x0
thorbenprimke,realm-searchview.git,build.gradle,0x0
cangwang,Gank.git,build.gradle,0x0
telly,groundy.git,build.gradle,0x0
tarek360,Animated-Icons.git,build.gradle,0x0
duoan,mini-rpc.git,pom.xml,0xfe0000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000000080002000000000000000000000000000000010000000180000000002
