user,repo,simTL,maxSC
padmaKumar1995,parkinglot-LLD.git,[],0.34581563
UchiG,java-dev-bootcamp-for-uni.git,[],0.45755512
briancatraguna,Countries-Quiz-Swing.git,[],0.6592069
NucleoidMC,Console-Box.git,[],0.38644922
zignaggo,JavaProjects.git,[],0.40163064
harshalchavan7,Minesweeper.git,[],0.30384463
kashafashraf230,Inventory_Management_REST_API.git,[],0.33833057
mgj96,market.git,[1628],0.8853593
orodriguez2015,api-gateway.git,[],0.5865478
EduardoAnalyst,Java-estudos.git,"[482, 745, 1924, 2184, 2285]",1.0
uptudev,techInterviewQuestion.git,[],0.38139948
aman0ab,Leetcode-Practice.git,[],0.6797495
dvare,dvare-framework.git,[],0.3348002
LiJie20190102,hbase-demo.git,[],0.7163808
sgus69,board.git,[],0.0
aditi-0312,helloJSP.git,[],0.6521577
Rajarshi-2001,Resturant_payment.git,[2229],0.84212637
LiangJiechao,leetcode.git,[],0.0
mohisin-shaik,DSA-Essentials.git,[],0.5454172
LuanBenevides,bVendas.git,[],0.0
AS825,CodePool.git,[],0.33349642
KumaCod3,MySQLloader.git,[],0.39568403
amitGit001,Notes-CRUDindraDemo.git,[],0.34189475
manglikankit,Spring-AOP-Around.git,[],0.0
badstar1004,Public-Wifi-Service.git,[],0.0
JanithNanayakkaraSE0612,Studio_Photograpy_Desktop_App_Dev.git,"[482, 745, 1924, 2184, 2285]",1.0
vasha54,Codeforce.git,[],0.0
moreykrishna,Giridhari.git,[],0.0
2605335342,sky-take-out.git,[],0.0
stefan-niedermann,nextcloud-deck.git,[],0.7039258
DauntingPear,CS2Labs.git,[],0.3642792
Tr100000,unfair.git,[],0.53832394
csk731,Design-Patterns.git,[],0.0
SaiMulagan,Project2CS245.git,[],0.0
kimdozzi,algorithm-review-site.git,[],0.0
thumb80,palco-spring-boot.git,[],0.0
Oscar-CR09,contactosSpringThymeleaf.git,[],0.4971905
BryanCachimuel,Ejercicios_de_Repaso_Java.git,[],0.0
LanshanTeam,Courseware-Backend-Java-2023.git,"[482, 745, 1924, 2184, 2285]",1.0
loiane,angular-spring-ecommerce.git,[1095],0.85074085
jmin07,MyFarm.git,[],0.0
MuriloPCoelho,CursoEmVideo-Java.git,[],0.37066045
littlledan,Lacos-RepeticaoGEN.git,[],0.0
MeterianHQ,java-sample-project.git,[],0.5722995
trangiahuy12,AppDev_Project.git,[],0.0
google-pay,android-quickstart.git,[],0.7654947
z1s5c3x2,HRMS.git,[],0.0
n-arms,ICS4UO-work.git,[],0.63393587
Chaaany,SSafy_15_BESTTEAM.git,[],0.5017061
aggyachya,Tugas_Mod7Kel14.git,[],0.0
qifan777,chatgpt-assistant.git,[],0.0
jeka-dev,jeka-ide-intellij.git,[],0.67138714
Mendoza-Matias,Java-practicas.git,[],0.0
Frexom,Emerald-Is-Useful.git,[],0.4992398
Truly-Modular,Modular-Item-API.git,[],0.0
mcarthon,Data-Structures-and-Algorithms.git,[],0.0
jouhnz,dio-trilha-java.git,[],0.37066045
luizfiliperm,search-algorithms.git,[],0.48616055
Cap-go,capacitor-updater.git,[],0.596109
fxiaoyu97,sangeng-ddsys-parent.git,[],0.0
appform-io,ranger.git,[],0.0
eduardabenevenutti77,POO.git,[626],0.8324919
AmyLovelace,ms-account-kafbank.git,[],0.3219604
wumphlett,COMP-4320.git,[],0.0
ValmirNogFilho,LibraryManager.git,[],0.47587293
Douglas-z,ADS_SENAC.git,[],0.4105662
RyanMazzeu,Programas_criados_em_Java.git,[],0.3487401
qwer7824,PharmacyRecommendation.git,[],0.0
jordandouglas,IndelDollo.git,[],0.4487487
bearslyricattack,Andulir.git,[],0.0
mntvs,mnt-bridge.git,[],0.3640357
MOHAMMEDSARVER,september.git,[],0.68179065
MobClub,SecVerify-For-Flutter.git,[],0.0
SiqueiraD,desenvolvimento-web.git,[],0.0
ZenrYael12,CamarasDeVigilancia.git,[],0.0
kelvin-hey,java-programming-masterclass.git,[],0.0
JohnnyP2,2019FINAL.git,[],0.5314989
azmi-03-23,ujian_mobile.git,[],0.0
DiSousaDev,mcc.git,[],0.37066045
qube1t,cli-insurance-system.git,[],0.6442323
jaero0725,develop_study.git,[],0.0
minjihonim,PapagoTranslator.git,[],0.0
CalebHite,knights-journey.git,[],0.0
MrMerrittx702,Java_APCSA_Notes.git,[],0.0
ReillyLP,MovieDB.git,[],0.0
IlamathyP,EncryptionDecryption-Assignment.git,[],0.0
apache,freemarker.git,[],0.0
da4avi,gerenciador_biblioteca.git,[],0.0
