user,repo,simTL,maxSC
aufarr16,testGradle.git,[],0.0
renatocunha216,netty-client-server.git,[],0.66421866
TejaBakkamunthala,ZomatoApplication.git,[],0.27642867
HunorKiss,se-lab-2.git,[],0.0
DombovariBalint,se-lab2.git,[],0.0
VanTuDev,SearchHomeWebsiteV1.git,[],0.0
Matrix-Username,Nida.git,[],0.43505704
roger10000,medicalclinic.git,[],0.5052797
Alipsa,tablesaw-charts.git,[],0.2725232
Lstanislao,Aprendiendo-git.git,[],0.43580526
ehmenzala,zazdent.git,[],0.0
Aleggzander,Quiz.git,[],0.0
MrHerbat,progrobie.git,[],0.57414037
interluded,lesson_2_5_logical_ops.git,[],0.0
LingFenglong,JavaWeb.git,[],0.48134562
d1SEr,Mobile6.git,[],0.0
Thalles1946,OptimizationMethods.git,[],0.3003419
PaulGresko,Bank-Handbook.git,[],0.0
JuusoJR,Nimen-arvauspeli.git,[],0.0
Tesssssssssy,Java_ExampleCodesForPractice.git,[],0.30902496
edvni,Memento.git,[],0.0
JugieNoob,StringEncoderJavaProject.git,[],0.34773725
seoHJ99,AutoCoin.git,[],0.0
chnuZaz,Weather-App.git,[],0.68013394
logued,oop-abstract-class-shape-SOLUTION.git,[],0.5490761
mathworks,jenkins-matlab-plugin.git,[],0.5107754
sanjaykumarranjan,git-demo.git,[],0.3842757
Panger95,tkStrikeDBGen2.git,[],0.4607078
Aertox,HRMsys.git,[],0.0
YuKyung-Chung,SolvingAlgo.git,[],0.0
cucumber,cucumber-eclipse.git,[],0.70800495
cip-p,spring-boot-example.git,[],0.37888646
chentian888,hm-dianping.git,[],0.0
Khayrullin98,Selenide1-task4.git,[],0.0
PrashantSuman7,Online-Pharmacy.git,[],0.3884089
Aliakbawr,Leafy-Legion.git,[],0.46197018
patschuh,KafkaEsque.git,[],0.0
PauHPMCBR,LolDamageCalculator.git,[],0.3548537
MakVinicius,rabbitmq-udemy.git,[],0.5568025
munevvercoskun,RentalBookApp.git,[],0.3045566
BlackCatCode22,warmup-data-types-and-user-input-Dr28Zy.git,[],0.4051617
islomar,parrotter.git,[],0.3145487
matheusfabiao,nutrieasy-api.git,[],0.0
1381saber,algorithm-design-Project.git,[],0.30689454
choizz156,wanted-pre-onboarding-backend.git,[],0.0
1381saber,Sky-Unzipper.git,[],0.59190273
LiYuxin44,IntelligentParkingSystem.git,[],0.37932804
shiv4340,maven.git,[2510],0.8614317
Luzero99,currencyConverter.git,[],0.4404443
hello-umesh,Java-8-Streams-example-1.git,[],0.36850393
Pawuloon,FallingSquares.git,[],0.71491486
JustKode,kafka-event-producer.git,[],0.39324737
sachinsomanwyd,Java-Programs.git,[],0.0
LeonardoSiqueira01,CRUD-Cadastro_de_Consultas.git,[],0.6065022
aaqadir,JavaTutorials.git,[],0.6524315
shree714,conflict10aug.git,[],0.0
Rahul-P-C,sonar-test.git,[2510],0.8614317
iamneo-production,adaadafeddfddfddddfcbdbeaebdaae.git,[],0.0
apaspxp,spring-batch-restartability.git,[],0.0
UpperMoon0,BE1-Movie.git,[],0.0
ShafeequeVelo,E-Cartridges.git,[],0.0
ageuxo,chonky_reactors.git,[],0.5062815
ajitpatil789,Spring-Core-Practical.git,[],0.45184737
Falynsky,smartmarkt_server.git,[],0.45996958
iamneo-production,badfdcafdeafedbeadbcfacefdfbfceafaedc.git,[],0.0
StumpyRabbit,ASN1.git,[],0.31350806
editice,saber.git,[],0.6890067
dogaozdemir,io-digital-api.git,[],0.0
TatsianaKobets,DB_ERIP.git,[],0.0
Trodev-IT,Trip_Tour_Guide.git,[],0.4113118
mhmdkardosha,Ping-Pong-Game.git,[],0.6662768
faizk9695,web-application-qtech-labs.git,[],0.6070579
manishpudasaini,SendingEmail---SpringBoot.git,[],0.44696087
netcodex,flink_cdc_demo.git,[],0.7976727
DanielEstrellaGutierrez,Proyecto2DAM.git,[],0.62167346
IagoTeixeira,somador.git,[],0.0
mishrarohit10,backend-moviegoldsite.git,[],0.38200966
Alifdaud,translasiduadimensi-kompgraf.git,[],0.0
AKarun0047,ChattingApplication.git,[],0.34740767
sunga08,Puppy-Popular-Vote.git,[],0.0
Mirza-MohammedJunaid-au28,Java-Tutorial.git,[],0.0
Challenge-Plusoft,mentalmed-api.git,[],0.37066045
AlexandreGitPro,DevGameAprendizado.git,[],0.37066045
narendradhafa,weather-app.git,[],0.41297683
FicoBR20,Exploraciones.git,"[482, 745, 1924, 2184, 2285]",1.0
garypolhill,netlogo-jvmgr.git,[],0.3934649
gi0-h,gifticon-app.git,[],0.0
CSC207-2023Y-UofT,01-intro-to-java-IliyaNj.git,[],0.4051617
dianacordun,Android_App.git,[],0.0
mrxPranav,StoreManager.git,[],0.5628712
Vivekanandd1,Selenuim_webdriver.git,[],0.73629034
TuiTenTuan,IR-ProbabilisticBM25.git,[],0.0
Mabusaki,Foodpurchasingsystem.git,[],0.64736915
MohammadHelaly,Adjustable-Tic-Tac-Toe.git,[],0.33454588
CSC207-2023Y-UofT,02-classes-in-java-josephpcsywm.git,[],0.4051617
emyst01,ums-spigot.git,[],0.47300988
MohammedHassan07,JavaImportantConcepts.git,[],0.30606025
AndreRobertoPimentel,EntradasJOptionPane.git,[],0.0
Nafay1010,Library_Management_System.git,[],0.0
JabAlex,Aleksander-Jablonski-kodilla-java.git,[],0.0
chenshuai12,study.git,[],0.0
GianCavalcante,todosimple-api.git,[],0.0
neogabe,projedata-test.git,[],0.0
mbvyn,photo-app-api-gateway.git,[],0.31755945
RicksonPassos,catolicaPoo.git,[],0.0
sumitkr70,warfile.git,[],0.60864866
techelly,scfirstrepo.git,[],0.0
kb03-project,petandmet.git,[],0.0
Eduardo-SalgTe,TlatorApp.git,[],0.0
Neovitalism,NeoSpawnPoints-Fabric.git,[],0.6164124
SoderJuliano,JAVA21BOOKREADER.git,[],0.6205264
MartinZou0,MySpringCloudLibrary.git,[],0.0
AniltonMoraisJr,alura-gateway.git,[],0.58927196
Cashman0604,Wordle.git,[],0.39173752
Zinaaan,real-questions-review.git,[1652],0.83527464
pudo58,truyen_tranh.git,[],0.0
heejaee,jpashop2.git,[],0.0
NDHSRK,FtcPowerPlay82PB.git,[],0.0
POO2023-02-UNALMED,taller-4-java-ronalcastro97.git,[],0.4051617
thanhnv863,Jersey.git,[],0.0
Franquito1,App.git,[1931],0.8103643
WalaceLima,Pos_Arqui_Fiap.git,[],0.54483604
Judith-Huallpa,practica_servlets.git,[],0.0
gabrielsilvadeoliveira687,sp3-crud-jpa-api.git,[],0.3174561
kaio220693,TarefaJAVA.git,[],0.0
GuiRodriguero,Design-Patterns.git,[],0.0
ReneDouglas,cursoSpring-v2.git,[],0.0
lucasr-conceicao,monitoramento-consumo-energia.git,[626],1.0
mahabalaraju,temp.git,[],0.0
scijava,scijava-ui-swing.git,[],0.6442657
Swash123,Puzzle_Slider_java.git,[],0.71491486
Swabhimanc,LibraryManagementSystem.git,[],0.48457262
Ayddan,poc-spring-boot-api-jpa.git,[],0.4426539
kapselccc,NBP-API.git,[],0.23146714
faterenuka,SchoolManagement.git,[],0.30686423
nika-alaverdashvili,davaleba_java.git,[],0.0
